track,id,playlist_id,mode,key,variable,value
together,44a7FrYYcPeqSkK52OxA0g,3FInOSJaKv5QzLQrd3lCgA,1.0,2.0,danceability,0.828
Laps Around The Sun,68ZVCePM9IP0MSbcmeZuup,3FInOSJaKv5QzLQrd3lCgA,0.0,4.0,danceability,0.768
don't get caught up,6Bi6dsPsxx5XAFVEukl9BW,3FInOSJaKv5QzLQrd3lCgA,1.0,1.0,danceability,0.9
heartbeat,2firPG9DQoxNvslHjw9RvR,3FInOSJaKv5QzLQrd3lCgA,1.0,0.0,danceability,0.656
Come Away,1tpSOLApZSgDaFqYHIeQl9,3FInOSJaKv5QzLQrd3lCgA,1.0,0.0,danceability,0.673
Whiskey and Wine,10FymYhTvRJoCUgCUfCi41,3FInOSJaKv5QzLQrd3lCgA,1.0,7.0,danceability,0.688
Nothing Comes Easy,2GuVrwskrlWZxVSnkn2sl9,3FInOSJaKv5QzLQrd3lCgA,1.0,0.0,danceability,0.748
Silver Lining,3j1PWhUmHuUNl3BABHxxhc,3FInOSJaKv5QzLQrd3lCgA,1.0,8.0,danceability,0.546
You Might Think,3b82D7B1lfim0Bc4XVF7Ip,3FInOSJaKv5QzLQrd3lCgA,1.0,3.0,danceability,0.493
Maine,3Z2anmIVG8b1GelyeFQdnP,3FInOSJaKv5QzLQrd3lCgA,1.0,6.0,danceability,0.533
Home to You,74Wc7GSHUsVZaFHUOj6TyC,3FInOSJaKv5QzLQrd3lCgA,1.0,5.0,danceability,0.691
Gypsy,1lMMXT729a5UIpJU34TbJF,3FInOSJaKv5QzLQrd3lCgA,1.0,4.0,danceability,0.626
Gone (The Pocahontas Song),6m8mbyoMIs5Tg8HNfStrjQ,3FInOSJaKv5QzLQrd3lCgA,0.0,1.0,danceability,0.688
Báilame la Pena,62wOc9oOPI98lxm6QHQVnI,3FInOSJaKv5QzLQrd3lCgA,1.0,4.0,danceability,0.726
Keepsake,4OAcOb2uobXd9Zu1X9BnEE,3FInOSJaKv5QzLQrd3lCgA,1.0,9.0,danceability,0.59
Colours,6z5oPgoTiPbDBEbRR4QHu5,3FInOSJaKv5QzLQrd3lCgA,1.0,10.0,danceability,0.585
Grace(Less),4hCdOj186x8BAGtwGbRTSm,3FInOSJaKv5QzLQrd3lCgA,1.0,7.0,danceability,0.474
Gold,7zs5zHtydDQ4RTEylVtXRp,35oLMiAK4VM2T0ek3PTPIc,0.0,6.0,danceability,0.721
I'll Be There,0dVI8xAqJZvCiYa2Drsez2,3FInOSJaKv5QzLQrd3lCgA,1.0,7.0,danceability,0.601
The Sun is Coming,7lqhCCnOkOGKpVC4t4OCv3,3FInOSJaKv5QzLQrd3lCgA,1.0,0.0,danceability,0.674
Storm Boy,5eH5Sz2mBFVifIjTE8nLa6,3FInOSJaKv5QzLQrd3lCgA,1.0,7.0,danceability,0.51
La Verdad,5DrikCrFK2V1F7NtEBqSXO,3FInOSJaKv5QzLQrd3lCgA,1.0,9.0,danceability,0.611
Súbeme al Cielo,7ePEMiFYjAjTxl1vyumTsF,3FInOSJaKv5QzLQrd3lCgA,1.0,2.0,danceability,0.406
Lost Stars,1cPtMErymxlrj7pssAB03r,3FInOSJaKv5QzLQrd3lCgA,1.0,1.0,danceability,0.531
On My Way,1shDLpsNopiFi72lzxr7mI,5U2MYFAcQ3yT7XbHYgGPmb,1.0,0.0,danceability,0.642
Blue Eyes,0JIGBObzd2N4gv8xDeJIQz,3FInOSJaKv5QzLQrd3lCgA,0.0,7.0,danceability,0.429
To the Sea,3FRQS5VFMCVt7HUIs77eu8,3FInOSJaKv5QzLQrd3lCgA,0.0,1.0,danceability,0.365
