,artist,artist_id,genres,track_id,popularity,image_url
64,The Paper Kites,79hrYiudVcFyyxyJW0ipTy,australian indie folk,431qZaQAJuIolwBrlDa6Yg,70,https://i.scdn.co/image/ab6761610000e5eb8d8fd6b6234b07e3b27a1b13
65,The Paper Kites,79hrYiudVcFyyxyJW0ipTy,indie folk,431qZaQAJuIolwBrlDa6Yg,70,https://i.scdn.co/image/ab6761610000e5eb8d8fd6b6234b07e3b27a1b13
66,The Paper Kites,79hrYiudVcFyyxyJW0ipTy,stomp and holler,431qZaQAJuIolwBrlDa6Yg,70,https://i.scdn.co/image/ab6761610000e5eb8d8fd6b6234b07e3b27a1b13
67,Eddie Berman,7FfxvcUIbQ1VxrApeoq8ql,indie folk,2qVGmHSlfAhGZJifXVNwUI,50,https://i.scdn.co/image/ab6761610000e5ebacbdd892a243b2e605e52429
68,Eddie Berman,7FfxvcUIbQ1VxrApeoq8ql,new americana,2qVGmHSlfAhGZJifXVNwUI,50,https://i.scdn.co/image/ab6761610000e5ebacbdd892a243b2e605e52429
69,Caamp,0wyMPXGfOuQzNR54ujR9Ix,indie folk,0jX7GLf5pVGZpchy64sluA,70,https://i.scdn.co/image/ab6761610000e5eb14a8f509151ea8cbba5c75d5
70,Caamp,0wyMPXGfOuQzNR54ujR9Ix,stomp and holler,0jX7GLf5pVGZpchy64sluA,70,https://i.scdn.co/image/ab6761610000e5eb14a8f509151ea8cbba5c75d5
71,The Paper Kites,79hrYiudVcFyyxyJW0ipTy,australian indie folk,45p0MAVey0dnjZXo8kMUzh,70,https://i.scdn.co/image/ab6761610000e5eb8d8fd6b6234b07e3b27a1b13
72,The Paper Kites,79hrYiudVcFyyxyJW0ipTy,indie folk,45p0MAVey0dnjZXo8kMUzh,70,https://i.scdn.co/image/ab6761610000e5eb8d8fd6b6234b07e3b27a1b13
73,The Paper Kites,79hrYiudVcFyyxyJW0ipTy,stomp and holler,45p0MAVey0dnjZXo8kMUzh,70,https://i.scdn.co/image/ab6761610000e5eb8d8fd6b6234b07e3b27a1b13
74,Blind Pilot,6qiGjRyN7TJ1GA2nXF68Hi,indie folk,5KDYoDGFVjJ0QBOgZm87Wm,49,https://i.scdn.co/image/01a5a3d205cf4fc556b16660ce0355e9a1e29fde
75,Blind Pilot,6qiGjRyN7TJ1GA2nXF68Hi,new americana,5KDYoDGFVjJ0QBOgZm87Wm,49,https://i.scdn.co/image/01a5a3d205cf4fc556b16660ce0355e9a1e29fde
76,Blind Pilot,6qiGjRyN7TJ1GA2nXF68Hi,portland indie,5KDYoDGFVjJ0QBOgZm87Wm,49,https://i.scdn.co/image/01a5a3d205cf4fc556b16660ce0355e9a1e29fde
77,Blind Pilot,6qiGjRyN7TJ1GA2nXF68Hi,stomp and holler,5KDYoDGFVjJ0QBOgZm87Wm,49,https://i.scdn.co/image/01a5a3d205cf4fc556b16660ce0355e9a1e29fde
78,Amber Rubarth,3hCsjNTxbes8L05Vy8Dkva,,1fHXIgOL2pO9RmbCvubju7,34,https://i.scdn.co/image/ab6761610000e5eb2b60de2e80490b958972bdb8
79,Joe Purdy,3MCxkaTJmYKH0FZbe3rYxa,acoustic pop,1fHXIgOL2pO9RmbCvubju7,46,https://i.scdn.co/image/ab6761610000e5ebeb0c17878676fef4cf5f3be3
80,Joe Purdy,3MCxkaTJmYKH0FZbe3rYxa,arkansas country,1fHXIgOL2pO9RmbCvubju7,46,https://i.scdn.co/image/ab6761610000e5ebeb0c17878676fef4cf5f3be3
81,Joe Purdy,3MCxkaTJmYKH0FZbe3rYxa,indie folk,1fHXIgOL2pO9RmbCvubju7,46,https://i.scdn.co/image/ab6761610000e5ebeb0c17878676fef4cf5f3be3
82,Joe Purdy,3MCxkaTJmYKH0FZbe3rYxa,neo mellow,1fHXIgOL2pO9RmbCvubju7,46,https://i.scdn.co/image/ab6761610000e5ebeb0c17878676fef4cf5f3be3
83,Joe Purdy,3MCxkaTJmYKH0FZbe3rYxa,stomp and holler,1fHXIgOL2pO9RmbCvubju7,46,https://i.scdn.co/image/ab6761610000e5ebeb0c17878676fef4cf5f3be3
84,seatime,6hBlKREKLZnMsNIWqujJNz,,12yzF0AXFLeeRYYGuyCUm1,48,https://i.scdn.co/image/ab6761610000e5eb2957230fa2130065a54580f2
85,WAVO X,0kwgVmPjXXXbG7GsTEHjzf,,12yzF0AXFLeeRYYGuyCUm1,48,https://i.scdn.co/image/ab6761610000e5ebec6cb4e0d63efcc0b29375c2
86,Elephant Revival,3OwOKwd5FsfOD5qlH2tnzs,deep new americana,5zDKhDqRbiCPAPbh2M2Ave,49,https://i.scdn.co/image/ab6761610000e5eb5258d3e9e9d1449fae462330
87,Elephant Revival,3OwOKwd5FsfOD5qlH2tnzs,indie folk,5zDKhDqRbiCPAPbh2M2Ave,49,https://i.scdn.co/image/ab6761610000e5eb5258d3e9e9d1449fae462330
88,Elephant Revival,3OwOKwd5FsfOD5qlH2tnzs,laboratorio,5zDKhDqRbiCPAPbh2M2Ave,49,https://i.scdn.co/image/ab6761610000e5eb5258d3e9e9d1449fae462330
89,Elephant Revival,3OwOKwd5FsfOD5qlH2tnzs,new americana,5zDKhDqRbiCPAPbh2M2Ave,49,https://i.scdn.co/image/ab6761610000e5eb5258d3e9e9d1449fae462330
90,Elephant Revival,3OwOKwd5FsfOD5qlH2tnzs,progressive bluegrass,5zDKhDqRbiCPAPbh2M2Ave,49,https://i.scdn.co/image/ab6761610000e5eb5258d3e9e9d1449fae462330
91,Elephant Revival,3OwOKwd5FsfOD5qlH2tnzs,stomp and holler,5zDKhDqRbiCPAPbh2M2Ave,49,https://i.scdn.co/image/ab6761610000e5eb5258d3e9e9d1449fae462330
92,Elephant Revival,3OwOKwd5FsfOD5qlH2tnzs,washboard,5zDKhDqRbiCPAPbh2M2Ave,49,https://i.scdn.co/image/ab6761610000e5eb5258d3e9e9d1449fae462330
93,Nick Mulvey,3x8FbPjh2Qz55XMdE2Yalj,british singer-songwriter,1QJnDJuYOGj05iSc4eWGr5,62,https://i.scdn.co/image/ab6761610000e5eb789ebf2b466da35359f36868
94,Nick Mulvey,3x8FbPjh2Qz55XMdE2Yalj,cambridgeshire indie,1QJnDJuYOGj05iSc4eWGr5,62,https://i.scdn.co/image/ab6761610000e5eb789ebf2b466da35359f36868
95,Nick Mulvey,3x8FbPjh2Qz55XMdE2Yalj,indie folk,1QJnDJuYOGj05iSc4eWGr5,62,https://i.scdn.co/image/ab6761610000e5eb789ebf2b466da35359f36868
96,Ziggy Alberts,6tuPdaFPIytg3l2f51L7Hw,australian singer-songwriter,0XAtJS1qj32yMeoDfia3Nt,63,https://i.scdn.co/image/ab6761610000e5ebd976f3acccac24a7654ce66d
97,Ziggy Alberts,6tuPdaFPIytg3l2f51L7Hw,folk-pop,0XAtJS1qj32yMeoDfia3Nt,63,https://i.scdn.co/image/ab6761610000e5ebd976f3acccac24a7654ce66d
98,Ziggy Alberts,6tuPdaFPIytg3l2f51L7Hw,indie anthem-folk,0XAtJS1qj32yMeoDfia3Nt,63,https://i.scdn.co/image/ab6761610000e5ebd976f3acccac24a7654ce66d
99,Ben Howard,5schNIzWdI9gJ1QRK8SBnc,british singer-songwriter,3CAX47TnPqTujLIQTw8nwI,67,https://i.scdn.co/image/ab6761610000e5eb7f6d3ce714aba5b2c38212dc
100,Ben Howard,5schNIzWdI9gJ1QRK8SBnc,folk-pop,3CAX47TnPqTujLIQTw8nwI,67,https://i.scdn.co/image/ab6761610000e5eb7f6d3ce714aba5b2c38212dc
101,Ben Howard,5schNIzWdI9gJ1QRK8SBnc,indie folk,3CAX47TnPqTujLIQTw8nwI,67,https://i.scdn.co/image/ab6761610000e5eb7f6d3ce714aba5b2c38212dc
102,Ben Howard,5schNIzWdI9gJ1QRK8SBnc,neo mellow,3CAX47TnPqTujLIQTw8nwI,67,https://i.scdn.co/image/ab6761610000e5eb7f6d3ce714aba5b2c38212dc
103,Ben Howard,5schNIzWdI9gJ1QRK8SBnc,stomp and holler,3CAX47TnPqTujLIQTw8nwI,67,https://i.scdn.co/image/ab6761610000e5eb7f6d3ce714aba5b2c38212dc
104,Nate Richert,6ldgbkFgkKxOTa5caCyUDl,,6EaTwxekBZbk9SuKmmqQzm,23,https://i.scdn.co/image/ab6761610000e5eba36acd448dbe8b94aea132d0
105,The Paper Kites,79hrYiudVcFyyxyJW0ipTy,australian indie folk,1HMQmOWrkieKYWlFsjUP3D,70,https://i.scdn.co/image/ab6761610000e5eb8d8fd6b6234b07e3b27a1b13
106,The Paper Kites,79hrYiudVcFyyxyJW0ipTy,indie folk,1HMQmOWrkieKYWlFsjUP3D,70,https://i.scdn.co/image/ab6761610000e5eb8d8fd6b6234b07e3b27a1b13
107,The Paper Kites,79hrYiudVcFyyxyJW0ipTy,stomp and holler,1HMQmOWrkieKYWlFsjUP3D,70,https://i.scdn.co/image/ab6761610000e5eb8d8fd6b6234b07e3b27a1b13
108,Pete Seeger,1P9syEkl41IFowWIJN7ZBY,american folk revival,6NSpccyjAT80BesuPjdLn1,46,https://i.scdn.co/image/ab6761610000e5eb36c56a49814607d8035749b9
109,Pete Seeger,1P9syEkl41IFowWIJN7ZBY,appalachian folk,6NSpccyjAT80BesuPjdLn1,46,https://i.scdn.co/image/ab6761610000e5eb36c56a49814607d8035749b9
