track,id,playlist_id,playlist,mode,key,variable,value
,2S3nwkJOnoNGGL40EWCBWW,37i9dQZF1DWSRc3WJklgBs,,1.0,1.0,danceability,0.692
,3oyBjanJeqPz5cOMDedCyl,37i9dQZF1DWSRc3WJklgBs,,0.0,6.0,danceability,0.775
,5muXOWzcV0ckxYq0ATO1EW,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.777
,4jEApyYREH9pGLYpZN04YQ,37i9dQZF1DWSRc3WJklgBs,,1.0,5.0,danceability,0.328
,7cujJQPxdHeDz5mKLmv0bu,37i9dQZF1DWSRc3WJklgBs,,1.0,8.0,danceability,0.587
,5xzCzOAOfRi4DOttSzvznR,5U2MYFAcQ3yT7XbHYgGPmb,House,0.0,5.0,danceability,0.725
,67k9neQm9nlnMnejMpRXSN,37i9dQZF1DWSRc3WJklgBs,,1.0,4.0,danceability,0.316
,7nulK6AZKACR2dxLCbQz6S,37i9dQZF1DWSRc3WJklgBs,,1.0,3.0,danceability,0.728
,5XY6DN8SXjHtj55e7CkZpH,37i9dQZF1DWSRc3WJklgBs,,1.0,9.0,danceability,0.521
,2sLVs5iX0osogh4jcsAJkv,37i9dQZF1DWSRc3WJklgBs,,1.0,5.0,danceability,0.678
,2UPyrucm3iRB0VW2uMNfB0,37i9dQZF1DWSRc3WJklgBs,,1.0,4.0,danceability,0.548
,6QLcgTd4x8YsrVzo7txqzT,37i9dQZF1DWSRc3WJklgBs,,1.0,3.0,danceability,0.485
,5mi9BFrugew7j9HzUpgPEI,37i9dQZF1DWSRc3WJklgBs,,1.0,5.0,danceability,0.755
,2nMt4SLvhxTRbh1xtHBEWF,37i9dQZF1DWSRc3WJklgBs,,0.0,7.0,danceability,0.706
,2wz4bHcKZgbfZGzZ0LB2fn,37i9dQZF1DWSRc3WJklgBs,,1.0,9.0,danceability,0.793
,0G94oDZCWdfGxcIJZ9hfmW,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.743
,4I3kvtjNBcJWI7H9bszT75,37i9dQZF1DWSRc3WJklgBs,,0.0,6.0,danceability,0.647
,7Eg6WudP6Qp7JzqldA2ZTH,37i9dQZF1DWSRc3WJklgBs,,0.0,10.0,danceability,0.595
,128BW48JmONhjYQzUUwigC,37i9dQZF1DWSRc3WJklgBs,,0.0,4.0,danceability,0.467
,3qrTracLJmTz2XaJDkSiEN,37i9dQZF1DWSRc3WJklgBs,,1.0,7.0,danceability,0.692
,0dPCSrtlGF3u1ZmsCAypyA,37i9dQZF1DWSRc3WJklgBs,,0.0,0.0,danceability,0.673
,7zs5zHtydDQ4RTEylVtXRp,35oLMiAK4VM2T0ek3PTPIc,Chillin',0.0,6.0,danceability,0.721
,3Mi8teeczekyPhn5lgW8li,37i9dQZF1DWSRc3WJklgBs,,1.0,11.0,danceability,0.715
,310TW3iypnMo8laEWughHb,37i9dQZF1DWSRc3WJklgBs,,0.0,5.0,danceability,0.67
,1AJ4HIL7Aj9hXjl1plAkJk,37i9dQZF1DWSRc3WJklgBs,,0.0,4.0,danceability,0.561
,5EwwwdsQfKI8ZnFG93j5Zu,5U2MYFAcQ3yT7XbHYgGPmb,House,0.0,8.0,danceability,0.45
,3LnETnq2xyUpKcGqAQLJy1,37i9dQZF1DWSRc3WJklgBs,,1.0,2.0,danceability,0.639
,5wM6LOw2U6XeIFHfsgI6wU,37i9dQZF1DWSRc3WJklgBs,,1.0,11.0,danceability,0.511
,2L6rsP2nThuVySclwSUkBT,37i9dQZF1DWSRc3WJklgBs,,0.0,4.0,danceability,0.794
,1rJgKcK3ilp4xg7WxTs4RG,37i9dQZF1DWSRc3WJklgBs,,0.0,11.0,danceability,0.483
,4IvuPZogXbY7LODs7qzr0W,37i9dQZF1DWSRc3WJklgBs,,1.0,1.0,danceability,0.518
,6TCOYzcdzS4zlfcqv0WCEP,37i9dQZF1DWSRc3WJklgBs,,1.0,7.0,danceability,0.707
,45VICFveHN4B9Rigyh9WA1,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.678
,6JVJveEV6OIdHNQ7byExRh,37i9dQZF1DWSRc3WJklgBs,,1.0,1.0,danceability,0.697
,18Nb7k9gprZ6r17bbaiUQZ,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.478
,3NQ4j0kY3lX8kbUfhS8GZV,37i9dQZF1DWSRc3WJklgBs,,0.0,6.0,danceability,0.71
,2KN5wY5R4gXbka8wB2kXh8,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.666
,60LqGQ9H0edzxwy2xhH5Sr,37i9dQZF1DWSRc3WJklgBs,,0.0,6.0,danceability,0.779
,5lW36ZLCGu81VzbIsMD2Rz,37i9dQZF1DWSRc3WJklgBs,,1.0,7.0,danceability,0.609
,3ngQbhj4jDCpEaxYxlrAIQ,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.542
,0HPJa3SJksQakwtOrJT7pj,37i9dQZF1DWSRc3WJklgBs,,1.0,5.0,danceability,0.519
,7rK7bQV2giqvHymQDyI5hY,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.63
,5C3LuMxFHg6Tf2kg5fsi49,5U2MYFAcQ3yT7XbHYgGPmb,House,0.0,7.0,danceability,0.573
,5ceI7bBnsYKHgel9YbBwAX,37i9dQZF1DWSRc3WJklgBs,,0.0,9.0,danceability,0.616
,55dEeQaniZNKnePkzZNJGg,37i9dQZF1DWSRc3WJklgBs,,1.0,9.0,danceability,0.637
,5or0ryC6EUT7kS92UEGqxd,37i9dQZF1DWSRc3WJklgBs,,0.0,8.0,danceability,0.71
,4Dug0HsHzITLyGGJz6xZct,37i9dQZF1DWSRc3WJklgBs,,1.0,3.0,danceability,0.598
,1xN6sq9RPSakAs4FlSsnhM,37i9dQZF1DWSRc3WJklgBs,,0.0,11.0,danceability,0.777
,2fbgpGt8u8ErxMT2cruio8,37i9dQZF1DWSRc3WJklgBs,,1.0,10.0,danceability,0.593
,2wG7MgpfXMCzQcTPCt78Tb,37i9dQZF1DWSRc3WJklgBs,,1.0,3.0,danceability,0.43
,3VpxEo6vMpi4rQ6t2WVVkK,37i9dQZF1DWSRc3WJklgBs,,0.0,9.0,danceability,0.659
,28pQcTJag5xFasUq2fw9PK,37i9dQZF1DWSRc3WJklgBs,,0.0,8.0,danceability,0.65
,04PFmhMcPH9AmbD8SsNEaF,7ozIozDp260fjNOZy1yzRG,Chillout 2023,1.0,8.0,danceability,0.781
,4Kc1nMxyLCWtx3BganIsQs,37i9dQZF1DWSRc3WJklgBs,,0.0,8.0,danceability,0.724
,1iBdC7vSNeDEOITfNtJn9P,37i9dQZF1DWSRc3WJklgBs,,1.0,6.0,danceability,0.743
,6g8cNAhS1XvIQAw8E1F8pU,35oLMiAK4VM2T0ek3PTPIc,Chillin',1.0,9.0,danceability,0.696
,06ZFfsiywuaqGnYQiUfbyn,37i9dQZF1DWSRc3WJklgBs,,0.0,9.0,danceability,0.517
,1MPfyPFjBE0e9GGWImKlXf,37i9dQZF1DWSRc3WJklgBs,,1.0,6.0,danceability,0.574
,7qZO40P0GQeXIRSXSVXg9z,5U2MYFAcQ3yT7XbHYgGPmb,House,1.0,8.0,danceability,0.563
,1xtjlpOgI7J0erR750HmHM,37i9dQZF1DWSRc3WJklgBs,,0.0,8.0,danceability,0.329
,46JbXTR6VNrnnoJJAsn6gN,37i9dQZF1DWSRc3WJklgBs,,0.0,10.0,danceability,0.647
,0TZmwiefBLRaNYtkRWH8Uh,37i9dQZF1DWSRc3WJklgBs,,1.0,8.0,danceability,0.683
,6bGTVNNA07wWwyPFPa7PyD,37i9dQZF1DWSRc3WJklgBs,,0.0,7.0,danceability,0.767
,2HirdhcyrBod79Utk0acmI,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.748
,0FZnUKsmGA6kPwi0NShlBy,37i9dQZF1DWSRc3WJklgBs,,0.0,4.0,danceability,0.782
,1D3qSUMiemq8wa4xXOC2qi,37i9dQZF1DWSRc3WJklgBs,,0.0,1.0,danceability,0.651
,7lrRFHIvCkqWt0C4UZu0tr,37i9dQZF1DWSRc3WJklgBs,,1.0,11.0,danceability,0.767
,0SPkuDppx85ze6lNntoLnL,3XWqyAXlCtPmnZUJKt5ACC,,1.0,2.0,danceability,0.697
,3Gyk1QfuK1318hUsCMttjM,37i9dQZF1DWSRc3WJklgBs,,1.0,4.0,danceability,0.41
,1bQeHzGMsZFQx9WRARaBJq,37i9dQZF1DWSRc3WJklgBs,,0.0,6.0,danceability,0.714
,5w7sO0tWXMmctwKnJZu24v,37i9dQZF1DWSRc3WJklgBs,,0.0,7.0,danceability,0.87
,46id9snGVXnL2aUR5nISKC,37i9dQZF1DWSRc3WJklgBs,,1.0,7.0,danceability,0.705
,64S5EzF4dYoRWpwbkWLE0R,37i9dQZF1DWSRc3WJklgBs,,0.0,10.0,danceability,0.559
,50ZFpw2wS6ERvLmW8TINhq,37i9dQZF1DWSRc3WJklgBs,,1.0,9.0,danceability,0.788
,07H6zHibXp6CkzTiRoc5Nh,37i9dQZF1DWSRc3WJklgBs,,0.0,4.0,danceability,0.748
,4Z98AQ3fqEhYOsomPKkJP4,7ozIozDp260fjNOZy1yzRG,Chillout 2023,0.0,11.0,danceability,0.775
,0F7u39EASLrCAcThAXE1fM,37i9dQZF1DWSRc3WJklgBs,,0.0,2.0,danceability,0.557
,0W44iKwnweZAID1cCMw3B5,37i9dQZF1DWSRc3WJklgBs,,1.0,7.0,danceability,0.755
,6lQw8YVh9sXbzcOBzyQPmK,37i9dQZF1DWSRc3WJklgBs,,0.0,11.0,danceability,0.794
,2cjhbrRCiUwRWL2PDPpDAu,37i9dQZF1DWSRc3WJklgBs,,0.0,11.0,danceability,0.693
,1UTHkifQMS6znmSx2Svobk,37i9dQZF1DWSRc3WJklgBs,,1.0,9.0,danceability,0.849
,1dHiSGzb9WFtDKnBFJs4KO,37i9dQZF1DWSRc3WJklgBs,,0.0,5.0,danceability,0.83
,0xFuZlwE5hugBECRF5ZI5o,37i9dQZF1DWSRc3WJklgBs,,0.0,9.0,danceability,0.691
,6ZqWXWIh6yy2tfJwX0xnO3,37i9dQZF1DWSRc3WJklgBs,,0.0,3.0,danceability,0.789
