,track,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,top-track
847,On My Way,1shDLpsNopiFi72lzxr7mI,0.642,0.828,0.0,-4.031,1.0,0.0429,0.0679,6.8e-05,0.118,0.332,127.99,264787.0,True
848,Long Blue Light,3gaH1EhTC53WZeFRj3hGtp,0.552,0.485,9.0,-9.111,1.0,0.0332,0.517,0.106,0.164,0.51,71.548,200173.0,False
849,Old Ties and Companions,53DVsTZvB16BDP30XmfSef,0.657,0.368,7.0,-9.978,1.0,0.0281,0.884,0.00293,0.109,0.522,116.221,188947.0,False
850,Breathe Again - Acoustic,2Y29DHOl92FAqXy6Oe6f5h,0.649,0.433,10.0,-7.826,0.0,0.0365,0.631,0.0,0.146,0.183,122.948,198382.0,False
851,My Mind,3kxGvXqQDSOTo2KC6bEHNF,0.699,0.414,11.0,-12.373,1.0,0.0323,0.434,0.231,0.109,0.394,117.991,202215.0,False
852,Out of the Water,0bTXasxtrwOAMa1L6DDNaX,0.737,0.562,0.0,-7.579,1.0,0.0467,0.56,0.0,0.288,0.343,104.053,146900.0,False
853,Honey Hold Me,69XWcpV2x4YZWaCvstSRlK,0.606,0.567,0.0,-6.841,1.0,0.0268,0.367,0.00325,0.19,0.521,82.012,181455.0,False
854,My Repair (Radio Mix),7kpFwciajVMBD4jWK4EAZO,0.596,0.806,2.0,-7.95,1.0,0.0359,0.105,0.0,0.134,0.683,123.943,186721.0,False
855,Feel Alive,17cYon7wXkZgdtx7QS3kLN,0.468,0.878,11.0,-5.866,0.0,0.116,0.0218,0.767,0.176,0.104,126.059,166667.0,False
856,Stolen Love,6ZW6Q3Fzt9fGzC4nbhA5pf,0.529,0.693,1.0,-7.47,1.0,0.0262,0.00613,4.38e-06,0.205,0.448,112.012,223160.0,False
857,Resin,6AmrRS8slCMxGUZePjV6dH,0.259,0.373,1.0,-12.925,0.0,0.0275,0.895,0.181,0.118,0.196,83.295,203940.0,False
858,Elephants,3XSl09hH2I5nYXwVYXMx07,0.663,0.427,3.0,-11.101,1.0,0.0297,0.355,0.0398,0.0914,0.301,112.035,181086.0,False
859,With You,2xuNO2twEAziI59xyKYxzZ,0.438,0.383,2.0,-12.527,1.0,0.0322,0.655,0.0133,0.127,0.322,83.823,211518.0,False
860,Fool Me,1xhD6MGB3KAnYKTCumt3P2,0.657,0.646,1.0,-8.154,1.0,0.0317,0.0773,0.0,0.0623,0.601,118.027,232042.0,False
861,Golden Age,5kFeCFpKkO8xZPOBIrYKOl,0.881,0.67,6.0,-7.406,1.0,0.0308,0.43,0.00169,0.0939,0.963,123.989,198213.0,False
862,Lie with Me - EP Version,34bGkKfN3W2z2EdA4PjLFH,0.532,0.782,1.0,-5.387,1.0,0.0396,0.14,2.44e-05,0.192,0.178,139.921,189067.0,False
863,White Water,5dmrLolEgTr4TT0AhOxk5x,0.594,0.289,3.0,-13.348,1.0,0.0339,0.887,0.00537,0.108,0.0907,108.002,233391.0,False
864,Dandelion,1ruHAFkWtW6sQ3sXVNvnC3,0.644,0.597,6.0,-10.883,1.0,0.0467,0.591,5.17e-05,0.0928,0.254,104.731,190654.0,False
865,Answers,3P6fiFnHTkaryP2WmwV6Ch,0.406,0.423,1.0,-11.508,0.0,0.057,0.803,0.0,0.068,0.714,106.526,167732.0,False
866,Burn Right Through,5ebCCt72RFHHydQUvq865j,0.711,0.199,6.0,-11.381,1.0,0.038,0.889,0.0,0.114,0.324,114.398,155182.0,False
867,As You Go,0epc6FCUxWAOYI5q7nyIQu,0.405,0.163,4.0,-16.553,1.0,0.0334,0.816,0.000829,0.0975,0.281,109.398,180534.0,False
868,The Open Road,2Dj9OOoQHG5f0jlL5vt7Ve,0.67,0.408,7.0,-14.653,1.0,0.0346,0.848,8.4e-05,0.109,0.693,109.946,200133.0,False
869,Thirteen Sad Farewells,03RFScByLwJTxTme6n4BpP,0.647,0.402,6.0,-9.922,1.0,0.035,0.443,0.000244,0.387,0.437,114.039,165613.0,False
870,Old & Grey,4A8V9lYTmf9LMQ0sZ3ndXr,0.775,0.527,2.0,-10.533,0.0,0.0325,0.44,4.28e-05,0.211,0.898,118.006,192918.0,False
871,Give Myself to You,6SbMrnAWXq9A0BAdhdKdCp,0.791,0.533,9.0,-6.033,1.0,0.0339,0.24,7.72e-06,0.0737,0.499,109.022,219055.0,False
872,"Hold On, We’re Going Home (Live)",5L9IQR57lBSkRDtsS4rtWe,0.493,0.487,9.0,-9.961,1.0,0.0603,0.504,0.0,0.11,0.333,102.827,228638.0,False
873,Love Come Save Me,4FMkDzhmRXcuVtro4KqV1s,0.694,0.309,10.0,-14.461,1.0,0.458,0.827,0.00627,0.0994,0.573,81.166,231800.0,False
874,Better Like This,0Lt9AR529kuEyVKrNwCDTE,0.677,0.648,6.0,-9.433,1.0,0.0441,0.338,0.000121,0.116,0.377,92.503,214420.0,False
875,Truly Madly Deeply - Recorded at Spotify Studios NYC,0ApIlfcdY0hVdVEVUyS2Zf,0.675,0.368,0.0,-14.072,0.0,0.0375,0.83,0.00158,0.136,0.176,106.004,190393.0,False
876,Façade,3V2l1rp1z3cUW8GnQ1d7hd,0.523,0.37,3.0,-12.001,1.0,0.0349,0.848,0.00067,0.112,0.144,133.933,229893.0,False
877,Atlas Hands,1cM3Yg2598GAgtV8uu2hBZ,0.63,0.316,6.0,-11.885,1.0,0.0293,0.898,0.00217,0.0616,0.477,82.529,173091.0,False
878,Changes,0gKiONJeEtwb3hps4sUgyn,0.668,0.367,11.0,-11.002,1.0,0.0285,0.891,0.00521,0.103,0.342,110.21,161907.0,False
879,Muñequita de Cristal,2bsJ6oij5bheOFx9RyuFKY,0.747,0.644,7.0,-4.883,1.0,0.209,0.0213,0.0,0.0783,0.599,110.021,192650.0,True
880,Nudes,6jFDh9oyYVbHzQxtjzmYZY,0.606,0.76,9.0,-5.296,1.0,0.0501,0.0773,0.0,0.0499,0.561,99.992,196976.0,False
881,Valientes de Sofá,7jfMSrCnMhdwqpFEV3woIu,0.615,0.549,6.0,-5.829,1.0,0.0734,0.105,6.42e-06,0.114,0.568,112.695,209555.0,False
882,Esquinas de Madrid,45qw140Yo81dJkqv4pgvla,0.602,0.547,7.0,-13.372,1.0,0.033,0.728,0.0,0.0641,0.645,133.962,216462.0,False
883,Flor de Primavera,2xEiwSjfMz3onyI2qIO3iB,0.618,0.701,11.0,-13.593,1.0,0.0505,0.277,0.0,0.0882,0.607,130.093,208725.0,False
884,Volveré a Empezar,2KDNePHNaahkf8okcATp51,0.776,0.566,5.0,-7.5,1.0,0.0563,0.0518,0.0,0.0867,0.884,127.925,148000.0,True
885,Qué Bien,3iaj0MtII6VPVhwQa4eeX3,0.632,0.51,10.0,-8.018,1.0,0.0345,0.564,1.51e-06,0.279,0.443,134.024,273893.0,True
886,El Fin del Mundo,5SeYlZyKVENMOxiSPQkKyw,0.6,0.866,4.0,-4.599,1.0,0.0477,0.000839,0.0,0.094,0.676,127.056,188094.0,False
887,La Madre de Jose,3l8Ennt1PqShViwh0tkWuc,0.629,0.937,1.0,-2.84,1.0,0.115,0.293,0.0,0.0744,0.946,101.022,191347.0,False
888,Princesas,3hlWUNjAlbZ6nOjAbrivBv,0.683,0.846,7.0,-3.551,1.0,0.0422,0.0634,0.0,0.346,0.706,131.884,217000.0,False
889,"Marta, Sebas, Guille y los demás",30ddpolNHwXlrS5XO8MiiO,0.598,0.853,2.0,-4.559,1.0,0.0506,0.269,0.0,0.112,0.66,102.473,223187.0,False
890,Cómo Te Atreves,7M6CFruBrM5x7u0lTMtm6r,0.617,0.888,4.0,-4.567,1.0,0.0402,0.0705,0.0,0.162,0.771,130.97,240560.0,False
891,Paseo,6pWeJvzpQR1ihiUSJklOzD,0.726,0.55,0.0,-9.676,1.0,0.0445,0.432,0.0,0.155,0.84,102.021,216440.0,False
892,Caminando por la vida,3v1dCP3hk2djfWryqfp7sx,0.695,0.958,5.0,-3.778,1.0,0.0827,0.0148,7.16e-06,0.154,0.711,108.054,211680.0,False
893,Sirenas,4unOsvr9C2NqI9aJXrxpCy,0.686,0.574,5.0,-6.249,1.0,0.0404,0.739,0.0,0.109,0.251,126.98,184250.0,False
894,Amos del Piano Bar,1iaEMe2DMl2IrSYtPa1Dht,0.459,0.446,0.0,-10.421,1.0,0.0313,0.805,0.0,0.163,0.312,117.773,172035.0,False
895,El Rey del Contrabando,1hUVzcXPRKihxxDlLe4gW4,0.703,0.49,9.0,-5.132,1.0,0.0475,0.57,0.0,0.305,0.704,125.973,160798.0,False
896,Maldita Costumbre,5cWIowEZxB2FkZ1Hzqpwjl,0.826,0.928,11.0,-4.181,0.0,0.0336,0.181,0.0,0.296,0.967,139.033,165787.0,False
897,Sixtinain,4LapKFie8D1oWuowtLLXUu,0.325,0.727,9.0,-6.298,0.0,0.0473,0.155,0.0,0.265,0.486,110.684,202365.0,True
898,Mi lugar,4sE9RVyVKXCN8axRureOq4,0.563,0.667,7.0,-6.367,1.0,0.026,0.00643,0.0,0.25,0.721,134.963,218361.0,False
899,Indios y Vaqueros,3u5GmyJP2MU3tEJgyiAG2T,0.606,0.797,8.0,-6.23,1.0,0.0702,0.0607,0.0,0.366,0.851,100.015,184001.0,False
900,Cien gaviotas,020Gj87SqDRvzGHELzcCEc,0.593,0.943,9.0,-4.503,1.0,0.0424,0.133,4.38e-05,0.0478,0.846,136.027,169773.0,False
901,La Rumba del Tartamudo,5wo7dZljQgIJLY26vKKNQI,0.746,0.829,4.0,-5.09,1.0,0.139,0.268,1.6e-05,0.0459,0.836,105.823,191730.0,False
902,Aquellos Años Locos (Bonus Track),2zQPi1daDcELSMkpDGwHsn,0.636,0.914,3.0,-3.963,1.0,0.0598,0.212,0.0,0.383,0.6,114.111,141360.0,False
903,Volver a Disfrutar,3PuXuPcU0W4iHnd3C78FIr,0.344,0.966,1.0,-2.352,1.0,0.105,0.112,0.0,0.14,0.647,206.903,191347.0,False
904,Popera,6taZHPxPwrcmqQjYnqtaft,0.762,0.507,0.0,-7.229,1.0,0.0737,0.119,2.62e-06,0.0935,0.526,125.903,265644.0,False
905,Nada Fue Un Error,5QhOF5HXgZ0OFUZSE5kEv1,0.622,0.818,9.0,-6.784,1.0,0.0327,0.0831,0.0,0.31,0.849,138.495,208200.0,False
906,Sé lo que hicisteis - 2006 Remastered Version,15BdyloOmohWRWcnO4QILo,0.676,0.923,4.0,-6.374,1.0,0.0638,0.394,0.0,0.104,0.863,159.955,228547.0,False
907,Donde Me Lleven Mis Alas,3oE5p8VSiJRrVce8dUlEcC,0.685,0.596,9.0,-11.524,1.0,0.036,0.306,0.00596,0.126,0.856,98.004,189839.0,False
908,Hablando en plata - 2003 Remastered Version,7gHXpZ9RfD5ym9GZWlo35F,0.586,0.801,7.0,-5.105,1.0,0.0458,0.185,0.0,0.355,0.684,149.523,185067.0,False
909,Asturias - 2006 Remastered Version,49NjyMF2NnxNktEmi2Xge3,0.726,0.883,4.0,-5.234,1.0,0.0784,0.0144,0.000661,0.0367,0.884,115.012,248320.0,False
910,Cálmalo,0DjXsFNuQBH3rVPSYSQ81c,0.575,0.549,3.0,-10.3,0.0,0.0975,0.0773,0.0,0.0633,0.488,160.136,203549.0,False
911,Todo Me Da Igual,4BBC0JXqqZbQH5rQwjiUkp,0.426,0.76,6.0,-5.664,1.0,0.0449,0.0286,0.0,0.0712,0.876,127.903,205027.0,False
912,Sube a mi cohete,13pDWLl5cW56bzuJ6iEBta,0.391,0.854,8.0,-2.422,1.0,0.0374,0.0225,0.0,0.227,0.601,181.984,194147.0,False
913,Estoy enfermo (con Melendi),3H4gp39BIC4t3guLhjJBZr,0.569,0.831,11.0,-3.177,1.0,0.0454,0.0178,0.0,0.0603,0.824,100.022,154227.0,False
914,Equilibrista,4UV5daGmBU5KjWOn40y0kD,0.569,0.581,1.0,-6.204,0.0,0.0989,0.566,0.0,0.0999,0.882,181.956,230586.0,False
915,La Hipoteca,2S8O4CEK1YZIf4e8dla0QM,0.808,0.493,10.0,-6.216,1.0,0.147,0.57,0.0,0.658,0.721,155.974,218221.0,False
916,Feo Fuerte y Formal,24w139jhWNnuQjnlhlzLvi,0.716,0.879,5.0,-6.179,0.0,0.0349,0.0454,0.0,0.243,0.905,126.368,242267.0,False
917,Zapatillas,42VgiRyg0YjtRVLiPFNxPJ,0.428,0.956,8.0,-2.382,0.0,0.178,0.0281,0.0,0.58,0.686,198.076,172640.0,False
918,Desaparece,11c4nID11cj01SsG86RpNR,0.527,0.951,8.0,-2.288,0.0,0.051,0.00083,9.74e-06,0.158,0.798,102.5,170133.0,False
919,Moguín,1BnIr9vXs7ftYBZcloaItN,0.778,0.758,0.0,-5.969,1.0,0.174,0.616,0.0,0.481,0.968,104.976,198395.0,False
920,Vive,5ZkGqwsCIujcrccIU3K0ol,0.73,0.86,9.0,-5.233,1.0,0.0716,0.657,0.0,0.35,0.893,114.023,170789.0,False
921,Casa Puebla,65Rn5sqpEBVnT6ms0rnEAY,0.434,0.786,2.0,-9.227,1.0,0.0484,0.32,0.0,0.0989,0.787,96.522,236484.0,False
922,Los Tontos,4DoEHKWh8k6vYDleECQkJx,0.798,0.715,9.0,-5.712,0.0,0.187,0.365,2.08e-06,0.142,0.895,105.995,192787.0,False
923,Gitana,7JHsmp8rSkIHI6uFFQiukR,0.71,0.819,1.0,-6.84,0.0,0.0721,0.00573,0.000124,0.0943,0.856,111.999,191518.0,False
924,Es Por Ti,1rR8q4vfEyvMJDSv0dJDfr,0.743,0.744,1.0,-7.759,1.0,0.07,0.753,0.0,0.0768,0.968,115.98,157644.0,False
925,Estoy aquí,2VQ36fHtQwEjId0Z4K8ovU,0.666,0.92,0.0,-4.276,1.0,0.0759,0.351,0.0,0.126,0.922,105.074,216546.0,False
926,Besos,7MKO7rUZzjw8p87zdZDgqa,0.576,0.909,10.0,-3.306,1.0,0.0523,0.00679,4.42e-06,0.134,0.544,104.971,145827.0,False
927,PRMVR,78CVgSm8s9pfpwCqvqzEYB,0.585,0.608,10.0,-5.511,1.0,0.0263,0.0249,2.88e-06,0.337,0.562,95.805,183013.0,False
928,Eco,5hsul6oJHjJ7wbV9lky88A,0.594,0.772,0.0,-6.916,1.0,0.025,0.184,0.0,0.241,0.683,109.952,237960.0,False
929,Need You Around,0Gjenteadu0CYeJSKKCLuj,0.551,0.777,4.0,-5.993,0.0,0.0514,0.0616,0.0,0.605,0.262,119.966,148000.0,False
930,Last Time,2k5Jjbe8tOfDAzIKPBne22,0.555,0.853,5.0,-6.448,1.0,0.243,0.0427,7.53e-05,0.415,0.424,124.017,179274.0,False
931,Young Souls,7p2RlyF403KmPmZm2TxKl3,0.702,0.606,8.0,-10.285,0.0,0.0443,0.416,0.0,0.145,0.463,99.95,219373.0,False
932,Parrot Cay,24CU3VcY0KpF4frH20OY4x,0.628,0.708,2.0,-8.379,1.0,0.0305,0.155,0.739,0.229,0.122,122.022,160343.0,False
933,Waikiki - Original Mix,1rDOlWSjn7HnwjEqowZoBj,0.749,0.455,8.0,-10.011,0.0,0.0498,0.0151,0.906,0.7,0.191,121.001,377519.0,False
934,Dance with Me,06mFFhdNhfblY7tHLXFk5T,0.795,0.809,8.0,-6.424,1.0,0.0753,0.0746,0.0162,0.225,0.897,125.988,149797.0,False
935,Runaway - Y.V.E. 48 Remix,0mZrVEhEdgSRpW3yWv5Qar,0.622,0.677,5.0,-6.275,1.0,0.0359,0.111,0.0,0.929,0.17,109.958,210280.0,False
936,Klanga - De Hofnar Remix,0i3utbege8Iy3q7Hy86QCF,0.719,0.527,6.0,-9.077,1.0,0.0408,0.0312,0.716,0.105,0.58,123.955,264293.0,False
937,Lost,3GZD6HmiNUhxXYf8Gch723,0.913,0.603,8.0,-4.892,1.0,0.226,0.0272,0.000503,0.167,0.497,123.061,234093.0,False
938,Walk Away (feat. Jimmy Magardeau),5mp62FN0bi0aiuFMSS7pvw,0.514,0.778,11.0,-5.191,1.0,0.0523,0.193,0.0167,0.369,0.32,124.062,224516.0,False
939,Beside Me,0tXgWRU8IFUs3z4AZxUA8G,0.604,0.75,2.0,-4.693,1.0,0.0349,0.0625,0.0304,0.344,0.367,123.873,223548.0,False
940,SUMMERTIME,10Zqii97t3C3n01w93gqAE,0.574,0.91,10.0,-2.112,1.0,0.0483,0.0272,0.931,0.358,0.401,126.032,176667.0,False
941,Can't You See My Heart,2360PgqadvAXrboT25OOZo,0.559,0.864,6.0,-2.925,1.0,0.0359,0.012,1.18e-05,0.251,0.214,119.941,172000.0,False
942,Good Times,5A9G7jUq3rPy6uOBk52wGw,0.625,0.867,1.0,-6.385,1.0,0.0336,0.0629,0.938,0.0723,0.272,120.006,182000.0,False
943,Shots - Broiler Remix,0z8yrlXSjnI29Rv30RssNI,0.733,0.777,11.0,-7.076,0.0,0.0347,0.436,0.0716,0.102,0.583,119.996,190999.0,False
944,As Far as Feelings Go,2kJIiIqbzYVtv2iTpbQts9,0.679,0.804,0.0,-4.375,0.0,0.0832,0.111,0.0,0.154,0.649,105.962,209840.0,False
945,Alane,2u6Jm2klS4yvAlbSHlxUwI,0.581,0.799,3.0,-6.66,1.0,0.164,0.0419,9.43e-06,0.11,0.662,124.002,175016.0,False
946,Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,0.767,0.481,0.0,-8.52,0.0,0.0803,0.234,0.0,0.269,0.761,150.076,171375.0,False
947,Stronger (feat. Kesha),4NctFqJyGAqurHFEUQvWgR,0.648,0.672,1.0,-7.902,1.0,0.0436,0.36,0.0,0.097,0.435,104.987,173714.0,False
948,Love You Better,4UuGBDjt8gLXsANZqZxMBz,0.733,0.786,11.0,-7.494,1.0,0.0422,0.0931,0.0013,0.1,0.786,102.999,170893.0,False
949,Your Love (feat. Néha & Bertrand Lacoste),3mG0g9suL6I9EDE6wBmptO,0.687,0.675,6.0,-6.528,1.0,0.0276,0.0555,0.029,0.225,0.338,120.011,242077.0,False
950,Pumped Up Kicks,3Dzso9Q2WwupEclqgxBZht,0.669,0.687,0.0,-4.753,1.0,0.043,0.152,1.6e-05,0.308,0.386,123.903,145161.0,False
951,Can't Believe - Original Mix,4OJPEwttOIQSt9rkGN5De8,0.688,0.637,0.0,-6.93,1.0,0.0419,0.204,0.0955,0.0865,0.107,119.999,232000.0,False
952,You’re The Best Thing About Me - U2 Vs. Kygo,4QWSk7Ynu34r3EOHSwp9nI,0.779,0.601,2.0,-7.769,1.0,0.0858,0.00582,0.0,0.0875,0.694,117.059,256493.0,False
953,Lovers For The Weekend,7FvfODgUxsxQNDaYDEboIL,0.571,0.775,3.0,-8.608,1.0,0.0477,0.00527,8.99e-06,0.156,0.384,105.951,170947.0,False
954,Nalu,2oUSxhTzXlYyM7D31ohQok,0.675,0.638,7.0,-6.141,0.0,0.031,0.142,0.0365,0.245,0.234,120.087,149000.0,False
955,"Let It Go - From ""Frozen""/Soundtrack Version",0qcr5FMsEO85NAQjrlDRKo,0.543,0.485,8.0,-6.85,1.0,0.0305,0.558,0.0,0.12,0.371,136.961,223840.0,False
956,Voy A Ser el Rey León,51bdrC1ACj0hybcZoKzIqy,0.655,0.791,6.0,-7.85,1.0,0.0743,0.181,6.31e-05,0.136,0.83,98.787,170480.0,False
957,How Far I'll Go,3KzemxaWSSiYtnzOokd0Rs,0.574,0.31,4.0,-10.976,1.0,0.0482,0.61,0.0,0.209,0.123,83.706,163386.0,False
958,Canción de Meg,5r0oYCYfBWykOVVtwXBKvz,0.679,0.472,0.0,-10.458,1.0,0.0522,0.426,0.0,0.289,0.435,121.239,140027.0,False
959,Ese Es Mi Destino (Repetición),6B7Zmu4yNafWMtmSSJ7wUq,0.261,0.449,0.0,-9.253,1.0,0.0361,0.83,1.48e-05,0.0631,0.45,106.057,57107.0,False
960,De cero a héroe,1kIKCaRH85flXDJUKoxlUJ,0.443,0.753,0.0,-7.06,1.0,0.207,0.318,0.0,0.359,0.795,164.569,140360.0,False
961,Voy a Hacer Todo un Hombre de Tí,30emkg41FAEvRBuRj0quCy,0.701,0.504,2.0,-9.455,1.0,0.0322,0.0938,1.45e-06,0.0699,0.46,114.039,202520.0,False
962,Mi Dulce y Linda Flor,7LKDqfSsCpzyDC6hGvoHUR,0.367,0.549,4.0,-9.548,1.0,0.0538,0.444,0.0,0.206,0.804,89.899,146800.0,False
963,We Know The Way,5ndV6rlU0LqeJT7PWEYAV1,0.69,0.598,9.0,-8.779,1.0,0.0365,0.36,0.0,0.109,0.387,97.962,141415.0,False
964,Busca Lo M s Vital,2Yy18WPd9Ho4RTJHE64boS,0.6,0.475,7.0,-11.582,1.0,0.325,0.756,0.0,0.63,0.577,106.176,282707.0,False
965,Mi sueño es,5wTGlfbkoeepUACw2ZLx2l,0.661,0.605,4.0,-7.697,1.0,0.2,0.74,0.0,0.239,0.726,133.758,191400.0,False
966,Un Poco Loco,5x8j7lCP8TQVvNRpoFdd9V,0.624,0.5,7.0,-6.899,1.0,0.166,0.696,4.05e-05,0.372,0.562,95.234,112200.0,False
967,Recuérdame (Arrullo),1yrHMVabmdP4nNpKHZywxO,0.507,0.126,4.0,-18.821,0.0,0.109,0.92,8.16e-06,0.121,0.135,162.673,69813.0,False
968,La Llorona,0jtIjllBtx5cnaY4iVFZm2,0.509,0.587,4.0,-6.002,0.0,0.221,0.645,0.0,0.0812,0.358,133.379,165533.0,False
969,I Will Wait,5PRRthP9SLfbXB359MfIWv,0.486,0.769,1.0,-5.14,1.0,0.0341,0.0119,0.00832,0.197,0.393,131.286,276720.0,False
970,No Matter Where You Are,50PAd8N8FuYN6XQCHBDM4A,0.529,0.611,4.0,-6.383,1.0,0.0343,0.0714,4.78e-06,0.121,0.318,131.872,97960.0,False
971,Un Mundo Ideal,0ponZFZOMfmjBVGMjKXnnS,0.223,0.226,0.0,-12.583,1.0,0.0314,0.728,0.0,0.106,0.335,171.449,161093.0,False
972,Dos Mundos,4ytKq6A16pvpQG45qSxoIZ,0.674,0.647,8.0,-11.203,1.0,0.0576,0.203,0.00913,0.0371,0.411,109.886,200787.0,False
973,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version",6kvnSiMBa65Nz29g2TYmyW,0.569,0.744,8.0,-6.48,1.0,0.0298,0.0559,3.19e-06,0.0915,0.655,96.596,258400.0,False
974,"Strangers Like Me - From ""Tarzan""/Soundtrack Version",3mmi9qWiD7wt9yIq8fmw1Q,0.589,0.805,8.0,-6.124,1.0,0.0395,0.167,0.00109,0.268,0.569,120.928,180587.0,False
975,En Marcha Estoy,5dfp6KnLLkktpAYg1nFlEm,0.467,0.702,7.0,-8.146,1.0,0.0395,0.422,1.13e-05,0.317,0.54,203.814,221227.0,False
976,Dos Oruguitas,0HFxZvViHzxYpavybvKVq9,0.423,0.355,0.0,-10.565,1.0,0.0454,0.761,0.0,0.0915,0.465,93.788,214613.0,False
977,What Else Can I Do?,3XoYqtiWHhsk59frZupImG,0.718,0.709,4.0,-5.568,1.0,0.039,0.258,0.0,0.101,0.54,119.974,179427.0,True
978,You're Welcome,1gAqEg0gMyxJrM4DOOaYEA,0.788,0.739,5.0,-7.097,1.0,0.263,0.284,0.0,0.0373,0.667,135.207,163894.0,False
979,Son of Man,1LhFadk0aWYczltTjIbFlI,0.642,0.853,9.0,-5.288,1.0,0.0338,0.041,0.00035,0.361,0.694,141.663,163533.0,False
980,We Don't Talk About Bruno,52xJxFP6TqMuO4Yt0eOkMz,0.577,0.45,0.0,-8.516,0.0,0.0834,0.357,0.0,0.111,0.83,205.863,216120.0,False
981,Life Is Wonderful,4MW6iAySicumcMCbScZPCG,0.611,0.409,8.0,-9.286,0.0,0.0318,0.156,0.0,0.0496,0.394,97.944,260467.0,False
982,Please Don't Tell Her,3ufmwOhsjryZnCIAc0ZEjC,0.575,0.59,4.0,-6.909,1.0,0.0429,0.407,0.0,0.13,0.18,81.036,277853.0,False
983,Leave The Door Open,7MAibcTli4IisCtbHKrGMh,0.586,0.616,5.0,-7.964,1.0,0.0324,0.182,0.0,0.0927,0.719,148.088,242096.0,False
984,Grenade,4lLtanYk6tkMvooU0tWzG8,0.704,0.558,2.0,-7.273,0.0,0.0542,0.148,0.0,0.107,0.245,110.444,222091.0,False
985,Little Things,7kSLdGdXLey7pzLsWpdg1h,0.707,0.222,7.0,-11.716,1.0,0.0329,0.788,0.0,0.205,0.556,110.095,219640.0,False
986,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,0.612,0.28,0.0,-8.648,1.0,0.0434,0.932,0.0,0.088,0.387,72.795,213827.0,False
987,Falling,6Feh8q8vWGfJhc9xPKUIP2,0.58,0.629,2.0,-6.513,1.0,0.0444,0.506,1.84e-05,0.104,0.0668,126.254,200060.0,False
988,Two Ghosts,4B1rpPmQXwj78wk6aIGwwU,0.386,0.407,6.0,-7.095,0.0,0.0268,0.234,1.86e-06,0.0999,0.456,69.387,229813.0,False
989,Only Angel,5Lbsc65org0b85kNsPkluY,0.554,0.842,5.0,-4.113,1.0,0.0397,0.287,0.0,0.106,0.348,114.036,291080.0,False
990,Woman,33bURv895AN4FkBvgFo2dx,0.624,0.647,3.0,-4.68,0.0,0.0335,0.0169,0.0038,0.221,0.379,136.022,278800.0,False
991,Ever Since New York,5LABCxgmP7DATATIJXOh6n,0.389,0.537,10.0,-6.761,1.0,0.0309,0.2,3.13e-06,0.125,0.383,127.964,253387.0,False
992,Adore You,1M4qEo4HE3PRaCOM7EXNJq,0.676,0.771,8.0,-3.675,1.0,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133.0,False
993,Lights Up,6Mt9WkHRfG8eX0f5a5JgSb,0.575,0.621,10.0,-8.165,0.0,0.032,0.0392,0.0045,0.141,0.27,101.987,172213.0,False
994,Better Together,2iXdwVdzA0KrI2Q0iZNJbX,0.871,0.346,5.0,-9.481,1.0,0.0522,0.298,9.24e-06,0.108,0.659,110.054,207680.0,False
995,Banana Pancakes,0BgbobvykXxEvxo2HhCuvM,0.814,0.373,7.0,-8.017,1.0,0.116,0.602,1.7e-05,0.0931,0.632,114.548,191907.0,False
996,"Sitting, Waiting, Wishing",1dnXuEuApvuVqQCn0v9McL,0.766,0.547,0.0,-7.25,1.0,0.0264,0.229,1.5e-05,0.104,0.556,105.01,183720.0,False
997,I Hear a Symphony,3iJya7m7trpGv570Ske30n,0.207,0.243,10.0,-8.181,1.0,0.0306,0.925,0.0342,0.118,0.394,171.648,185176.0,False
998,Verte,2mMZAd3ol9wGI2WJl4XJCF,0.773,0.668,4.0,-4.254,0.0,0.366,0.374,0.0,0.0763,0.741,150.043,157419.0,False
999,Ganas,1Sr0zBbzovJTg5yxd41CcQ,0.65,0.571,1.0,-8.764,0.0,0.0487,0.456,0.0,0.232,0.742,75.972,254135.0,False
1000,No Necesito,2xyyyQRwvw8oVo5nKiBNh4,0.641,0.81,1.0,-4.516,0.0,0.0419,0.0422,0.00141,0.28,0.805,165.867,184891.0,False
1001,Ser Guitarra,6mtNyMwmlwy8kMq3NsWa6q,0.751,0.432,6.0,-8.697,1.0,0.0319,0.86,1.49e-05,0.147,0.745,116.039,179905.0,False
1002,Algo Tiene,5L5ct7rhZeYKLkb0qJn168,0.61,0.734,0.0,-7.328,1.0,0.0311,0.667,0.000126,0.222,0.887,88.967,184080.0,False
1003,Me haces bien,4UKe38tm5NkRpuFCxwewEe,0.404,0.607,9.0,-10.381,1.0,0.0451,0.327,0.03,0.155,0.576,149.604,184547.0,False
1004,I Just Called To Say I Love You,6RNDeRnWsRMjPdNVgupZCs,0.748,0.551,1.0,-9.054,1.0,0.0239,0.243,1.57e-06,0.0943,0.65,113.535,262240.0,False
1005,Angels,7CKbqqrs0AS1si1ZgaQdcj,0.431,0.59,4.0,-6.362,1.0,0.0284,0.163,1.11e-05,0.0981,0.257,150.193,265333.0,False
