track,id,playlist_id,playlist,top-track,duration_ms,mode,key,variable,value
Sometimes - Live in Dublin / 2022,5ZdP6NKuznfrAgF0veBCiO,5hJEgBdGwr6dWyf4lieSV9,2022,False,252784.0,1.0,2.0,loudness_normalized,0.22866810962411968
Carmín y Rubor - Acústico,1Uk3LKDpdzjTUSwayNxXtN,5hJEgBdGwr6dWyf4lieSV9,2022,False,157799.0,1.0,4.0,loudness_normalized,0.2234551717830686
Autocine,6r2ck2KKZR5MRvzNOqvy64,5hJEgBdGwr6dWyf4lieSV9,2022,False,179256.0,0.0,1.0,loudness_normalized,0.17507545041612044
Eso,65GNsyIhyPJhxg9ocwRWWS,5hJEgBdGwr6dWyf4lieSV9,2022,False,175534.0,1.0,11.0,loudness_normalized,0.2540926134804743
Bridge of Bones,5xNf5Ews4MNKSfBsIDwpRH,5hJEgBdGwr6dWyf4lieSV9,2022,False,339173.0,1.0,1.0,loudness_normalized,0.2189129043075328
Canta,7fmuSVptgsc6vLArdCPb8U,5hJEgBdGwr6dWyf4lieSV9,2022,False,165467.0,1.0,2.0,loudness_normalized,0.4311495899765265
Palabras (feat. ELE),7zZIK1FbJp34hDen4Qvm8o,5hJEgBdGwr6dWyf4lieSV9,2022,False,210587.0,1.0,8.0,loudness_normalized,0.16093040270706943
"Hola, Buenos Días",0eyeowZfj5Fr8xa09pa82X,5hJEgBdGwr6dWyf4lieSV9,2022,False,192890.0,1.0,7.0,loudness_normalized,0.32649452793951766
Northern Attitude,4O2rRsoSPb5aN7N3tG6Y3v,5hJEgBdGwr6dWyf4lieSV9,2022,False,267256.0,1.0,3.0,loudness_normalized,0.23452123281407183
Stick Season,0GNVXNz7Jkicfk2mp5OyG5,3FInOSJaKv5QzLQrd3lCgA,JP,False,182347.0,1.0,9.0,loudness_normalized,0.199402493674359
All My Love,7ByxizhA4GgEf7Sxomxhze,5hJEgBdGwr6dWyf4lieSV9,2022,False,251511.0,1.0,2.0,loudness_normalized,0.20409718623296647
She Calls Me Back,1LvU6IFqQnXOIwJyBDb2io,5hJEgBdGwr6dWyf4lieSV9,2022,False,243816.0,1.0,11.0,loudness_normalized,0.18470871566625
Come Over,2o3Wog8cDobbtvgFXIc6mK,35oLMiAK4VM2T0ek3PTPIc,Chillin',False,196401.0,1.0,10.0,loudness_normalized,0.22107734048715053
New Perspective,1M39ETXmej4g9EMSeXPUgj,5hJEgBdGwr6dWyf4lieSV9,2022,False,256871.0,1.0,5.0,loudness_normalized,0.281712038533061
"Everywhere, Everything",32iNr3J93tqFkxaMYwdRYi,5hJEgBdGwr6dWyf4lieSV9,2022,False,257668.0,1.0,11.0,loudness_normalized,0.2679632960399963
Orange Juice,07UFnnK3uPIuKv5Rs9TmXl,5hJEgBdGwr6dWyf4lieSV9,2022,False,297103.0,1.0,9.0,loudness_normalized,0.3179892083041185
Strawberry Wine,7Gvf6Li9MYft4fUijkFjKq,5hJEgBdGwr6dWyf4lieSV9,2022,False,285913.0,1.0,0.0,loudness_normalized,0.523000945035515
Growing Sideways,1JcIXOir94YUYBt2cXTzn2,5hJEgBdGwr6dWyf4lieSV9,2022,False,255144.0,1.0,7.0,loudness_normalized,0.2513794470017986
Homesick,44BBRAJHar6wQqKOxdyTzT,3FInOSJaKv5QzLQrd3lCgA,JP,False,182107.0,1.0,7.0,loudness_normalized,0.18592811633082337
Sintiéndolo Mucho (feat. Leiva),4fe2YUvzu5oGWJz3FPyvDE,5hJEgBdGwr6dWyf4lieSV9,2022,False,244013.0,1.0,2.0,loudness_normalized,0.2790903271042282
Qué Putada,1gAB2o2SBWqBtbStqGhyoE,5hJEgBdGwr6dWyf4lieSV9,2022,False,192853.0,1.0,7.0,loudness_normalized,0.1605340974910831
Entre Poetas y Presos,7LQLbChhh7aURz53yOTLAr,5hJEgBdGwr6dWyf4lieSV9,2022,False,267680.0,1.0,10.0,loudness_normalized,0.1288296802121757
Mood,6ZbcnheVCRlKHJXKU8DqGi,35oLMiAK4VM2T0ek3PTPIc,Chillin',False,183876.0,0.0,1.0,loudness_normalized,0.23153370118586708
Al revés (feat. MARLENA),7A48psjb1Bdi7KKpC95gaH,5hJEgBdGwr6dWyf4lieSV9,2022,False,192811.0,0.0,11.0,loudness_normalized,0.1498948266926805
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,35ovElsgyAtQwYPYnZJECg,5hJEgBdGwr6dWyf4lieSV9,2022,False,196520.0,1.0,9.0,loudness_normalized,0.17342925951894642
Creature Of The Night,0jgaFTvDHzI7V7DIoTf0BW,3FInOSJaKv5QzLQrd3lCgA,JP,False,277014.0,1.0,2.0,loudness_normalized,0.3337499618937292
"Plan fatal (feat. Juancho Sidecars, Sidecars)",3WJYbZVCqG5EygdjCiBLmh,5hJEgBdGwr6dWyf4lieSV9,2022,False,223263.0,1.0,1.0,loudness_normalized,0.08907721854708409
Camarón (feat. La Húngara),4RWlyZ2BOFpkl1BJWebuHx,5hJEgBdGwr6dWyf4lieSV9,2022,False,175673.0,1.0,9.0,loudness_normalized,0.15928421180989538
Diablo,511ZMyXhrPlJvQSYtBWDy3,5hJEgBdGwr6dWyf4lieSV9,2022,False,164670.0,1.0,1.0,loudness_normalized,0.07551138615370545
La Deriva,3yAVc9zsc742nCxO8mDB8T,5hJEgBdGwr6dWyf4lieSV9,2022,False,219027.0,1.0,9.0,loudness_normalized,0.20909672895771725
Cabezabajo,22Y1GRYwCO6dOiZffkUd6D,5hJEgBdGwr6dWyf4lieSV9,2022,False,208875.0,1.0,2.0,loudness_normalized,0.1676066213456086
Extasi,6ojrj2NSj3EkMm05yiuaMG,5hJEgBdGwr6dWyf4lieSV9,2022,False,157846.0,1.0,0.0,loudness_normalized,0.11078255037648993
Somriurem,2K4rdFRQKnePtvqgfpF5cR,5hJEgBdGwr6dWyf4lieSV9,2022,False,193187.0,1.0,7.0,loudness_normalized,0.21665701307807209
Ça Plane Pour Moi,7bx4zW72qdZKBb8p6g80jb,5hJEgBdGwr6dWyf4lieSV9,2022,False,179507.0,1.0,10.0,loudness_normalized,0.3432612870774014
Marte,2X5fBwF0y4SZZl9l5027AS,5hJEgBdGwr6dWyf4lieSV9,2022,False,241800.0,1.0,0.0,loudness_normalized,0.11998902539401882
Desde Aquella Vez,1R9dlH1uHHuJJF8gp9WN19,5hJEgBdGwr6dWyf4lieSV9,2022,False,161500.0,1.0,9.0,loudness_normalized,0.2440935280309727
Ez da Ondo Aterako,2hQopHlzbMsxN2ZFHXXAw5,5hJEgBdGwr6dWyf4lieSV9,2022,False,198573.0,1.0,11.0,loudness_normalized,0.21815077889217444
Nos volvemos a ver,0Cr7JWZYkPMIi6ercnFDR4,5hJEgBdGwr6dWyf4lieSV9,2022,False,162482.0,1.0,10.0,loudness_normalized,0.2651586745114776
Muerto de Miedo,4jwlLPZrR8FnmlOMR2dgfL,5hJEgBdGwr6dWyf4lieSV9,2022,False,247637.0,1.0,11.0,loudness_normalized,0.27296283876474714
Best Years Of Our Lives,4H7AC9OtnalwNkbmV0AAYs,5hJEgBdGwr6dWyf4lieSV9,2022,False,178800.0,1.0,2.0,loudness_normalized,0.10462457702039446
Lean on Me,3M8FzayQWtkvOhqMn2V4T2,5hJEgBdGwr6dWyf4lieSV9,2022,False,258835.0,1.0,0.0,loudness_normalized,0.40999298844617865
Nostalgia (feat. Jose Merce),2QdxVS3g2WobrrcOzY27si,5hJEgBdGwr6dWyf4lieSV9,2022,False,217504.0,1.0,4.0,loudness_normalized,0.16550315519921957
Guadalquivir,3LfSQjsU6hOTQhSezBTKDl,5hJEgBdGwr6dWyf4lieSV9,2022,False,216473.0,1.0,0.0,loudness_normalized,0.1728195591866597
Made You Look,0QHEIqNKsMoOY5urbzN48u,5hJEgBdGwr6dWyf4lieSV9,2022,False,134256.0,1.0,10.0,loudness_normalized,0.09657653263421026
Para Volver a Volver,45LQ9kIYVdKfZW5STMvBLh,5hJEgBdGwr6dWyf4lieSV9,2022,False,123280.0,0.0,2.0,loudness_normalized,0.28982105295247385
Estrella (feat. La La Love You),1tASt7L5WHMc8izTvkH0fC,5hJEgBdGwr6dWyf4lieSV9,2022,False,196175.0,1.0,2.0,loudness_normalized,0.07746242721702282
Frente A Frente,17KhchL0h4moaT3Tujjy7U,5hJEgBdGwr6dWyf4lieSV9,2022,False,255413.0,1.0,4.0,loudness_normalized,0.20022558912294602
