,track,id,playlist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist,top-track
619,Serás Feliz,7KHvA647EA9FEWYpSwBdMG,5hJEgBdGwr6dWyf4lieSV9,0.762,0.887,9.0,-4.687,0.0,0.0946,0.0254,4.2e-06,0.0297,0.898,111.994,201152.0,2022,False
620,ANTHEM,3lt51IE7AeTc1ceVJ6dV6Y,5hJEgBdGwr6dWyf4lieSV9,0.62,0.604,7.0,-9.118,1.0,0.0266,0.224,0.000569,0.351,0.442,129.997,258952.0,2022,False
621,Menos mal que te conocí,1WBr2tKgTnAb4jXGz1pGYj,5hJEgBdGwr6dWyf4lieSV9,0.716,0.768,6.0,-5.824,1.0,0.127,0.361,0.0,0.0966,0.872,100.019,223960.0,2022,False
622,Troubled Man,0GM071OWnLj7XbblrwSlo0,5hJEgBdGwr6dWyf4lieSV9,0.96,0.652,6.0,-6.941,1.0,0.0443,0.365,0.0042,0.0951,0.887,123.974,155173.0,2022,False
623,Sará Perché Ti Amo,0KHn32LwEHyr9qi7olpaYf,5hJEgBdGwr6dWyf4lieSV9,0.763,0.824,8.0,-4.274,1.0,0.0355,0.00973,0.0784,0.293,0.877,129.992,185998.0,2022,False
624,Calm Down,6hgoYQDUcPyCz7LcTUHKxa,5hJEgBdGwr6dWyf4lieSV9,0.811,0.781,11.0,-6.333,1.0,0.0428,0.376,0.001,0.121,0.824,107.007,219813.0,2022,False
625,La vida moderna (feat. Love of Lesbian),67oh7LlJZOzQiZ7mM2GtRm,5hJEgBdGwr6dWyf4lieSV9,0.575,0.893,9.0,-4.136,1.0,0.0761,0.134,0.0,0.136,0.804,173.881,193746.0,2022,False
626,El Bien,2y7b6A4hhl3ysYlU2kztGD,5hJEgBdGwr6dWyf4lieSV9,0.264,0.875,9.0,-3.222,1.0,0.0551,0.00208,0.00771,0.176,0.403,64.319,206227.0,2022,False
627,As It Was,4Dvkj6JhhA12EX05fT7y2e,2AjwEGmjc0VEaf25Dbjb1M,0.52,0.731,6.0,-5.338,0.0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303.0,Life Is Wonderful,False
628,Do I Love You (Indeed I Do),0JsyYwcVC0PwaCewYnEBYJ,5hJEgBdGwr6dWyf4lieSV9,0.546,0.938,11.0,-2.96,1.0,0.0351,0.00297,0.0,0.0823,0.881,133.96,147040.0,2022,False
629,Fabulous_Demo,726ciyvrGs455s80C2ZvHp,5hJEgBdGwr6dWyf4lieSV9,0.576,0.433,2.0,-8.488,1.0,0.0309,0.244,3.38e-05,0.139,0.212,163.937,200013.0,2022,False
630,Beautiful World,6QIayVxGLeIh0lap6S98NM,5hJEgBdGwr6dWyf4lieSV9,0.633,0.701,9.0,-8.488,1.0,0.0402,0.234,2.52e-05,0.144,0.726,102.005,183587.0,2022,False
631,Glass Of Wine,05B0oTmBb6xdUJ9VyxsaE0,5hJEgBdGwr6dWyf4lieSV9,0.791,0.243,6.0,-8.912,1.0,0.0346,0.596,3.01e-06,0.133,0.537,92.035,154987.0,2022,False
632,Una y Mil Veces - Rumba,2QFxZNTECGz7uGd7me4dzH,5hJEgBdGwr6dWyf4lieSV9,0.803,0.873,11.0,-3.784,0.0,0.144,0.0569,0.0,0.151,0.56,108.022,199968.0,2022,False
633,Amapolas - Remix,44QxiGlmeSpF8boud04Rkc,2AjwEGmjc0VEaf25Dbjb1M,0.694,0.582,7.0,-7.798,1.0,0.0384,0.692,0.0,0.111,0.437,123.985,267339.0,Life Is Wonderful,False
634,Bill Murray (voz de David Campos),7AEP4O2JAVvxdBfhrU0qaC,5hJEgBdGwr6dWyf4lieSV9,0.375,0.607,5.0,-7.848,1.0,0.0543,0.725,0.0,0.167,0.522,93.996,274234.0,2022,False
635,TV,3GYlZ7tbxLOxe6ewMNVTkw,37i9dQZF1DWYGZAMYFDM8S,0.412,0.236,4.0,-15.159,0.0,0.0379,0.83,0.00653,0.147,0.119,140.214,281381.0,Acoustic Chill,False
636,Deseos de Cosas Imposibles,6CIDsqMEEsBJf5Cv6RbuGw,5hJEgBdGwr6dWyf4lieSV9,0.576,0.757,11.0,-5.057,1.0,0.043,0.486,0.0,0.351,0.586,155.856,188800.0,2022,False
637,Canciones de Amor a Ti,3y8LURp2yO9vxB9Mrrsptd,5hJEgBdGwr6dWyf4lieSV9,0.681,0.756,0.0,-6.065,1.0,0.141,0.149,0.0176,0.102,0.676,144.878,198947.0,2022,False
638,Yate,0q7psxaixBQ8FkqyVpbfky,5hJEgBdGwr6dWyf4lieSV9,0.744,0.806,6.0,-7.328,0.0,0.128,0.416,0.367,0.116,0.746,132.005,205507.0,2022,False
639,Centro Di Gravità Permanente - Remastered 2021,6OzeWNA1SQgZBw5caqAIKN,5hJEgBdGwr6dWyf4lieSV9,0.76,0.561,0.0,-10.832,1.0,0.0297,0.112,5.99e-06,0.0406,0.683,131.13,239065.0,2022,False
640,Si No Estás,1OO0Qs5njyUWeLihFgYduu,5hJEgBdGwr6dWyf4lieSV9,0.537,0.421,5.0,-8.72,1.0,0.0285,0.827,0.0,0.138,0.524,98.224,184061.0,2022,False
641,Bostezo Mundial,3j2ARZXSshDyebBV08K1OW,5hJEgBdGwr6dWyf4lieSV9,0.615,0.713,4.0,-5.769,0.0,0.0405,0.265,0.0,0.149,0.575,136.967,212574.0,2022,False
642,Sometimes - Live in Dublin / 2022,5ZdP6NKuznfrAgF0veBCiO,5hJEgBdGwr6dWyf4lieSV9,0.269,0.649,2.0,-7.895,1.0,0.0444,0.593,1.59e-06,0.955,0.348,171.18,252784.0,2022,False
643,Carmín y Rubor - Acústico,1Uk3LKDpdzjTUSwayNxXtN,5hJEgBdGwr6dWyf4lieSV9,0.805,0.257,4.0,-7.724,1.0,0.055,0.817,1.2e-06,0.102,0.256,114.147,157799.0,2022,False
644,Autocine,6r2ck2KKZR5MRvzNOqvy64,5hJEgBdGwr6dWyf4lieSV9,0.664,0.867,1.0,-6.137,0.0,0.15,0.296,0.0,0.247,0.708,89.962,179256.0,2022,False
645,Eso,65GNsyIhyPJhxg9ocwRWWS,5hJEgBdGwr6dWyf4lieSV9,0.724,0.645,11.0,-8.729,1.0,0.0905,0.405,0.0,0.1,0.504,95.133,175534.0,2022,False
646,Bridge of Bones,5xNf5Ews4MNKSfBsIDwpRH,5hJEgBdGwr6dWyf4lieSV9,0.583,0.676,1.0,-7.575,1.0,0.0357,0.148,2.42e-06,0.0915,0.294,100.015,339173.0,2022,False
647,Canta,7fmuSVptgsc6vLArdCPb8U,5hJEgBdGwr6dWyf4lieSV9,0.771,0.232,2.0,-14.537,1.0,0.0441,0.841,8.1e-06,0.149,0.403,102.033,165467.0,2022,False
648,Palabras (feat. ELE),7zZIK1FbJp34hDen4Qvm8o,5hJEgBdGwr6dWyf4lieSV9,0.63,0.598,8.0,-5.673,1.0,0.0345,0.219,7.35e-06,0.0707,0.28,112.969,210587.0,2022,False
649,"Hola, Buenos Días",0eyeowZfj5Fr8xa09pa82X,5hJEgBdGwr6dWyf4lieSV9,0.798,0.65,7.0,-11.104,1.0,0.0632,0.413,2.25e-06,0.126,0.895,118.06,192890.0,2022,False
650,Northern Attitude,4O2rRsoSPb5aN7N3tG6Y3v,5hJEgBdGwr6dWyf4lieSV9,0.512,0.636,3.0,-8.087,1.0,0.0469,0.113,3.8e-05,0.104,0.312,121.431,267256.0,2022,False
651,Stick Season,0GNVXNz7Jkicfk2mp5OyG5,3FInOSJaKv5QzLQrd3lCgA,0.664,0.5,9.0,-6.935,1.0,0.0651,0.799,0.0,0.0966,0.801,117.896,182347.0,JP,False
652,All My Love,7ByxizhA4GgEf7Sxomxhze,5hJEgBdGwr6dWyf4lieSV9,0.637,0.651,2.0,-7.089,1.0,0.0521,0.32,0.0,0.0938,0.485,115.926,251511.0,2022,False
653,She Calls Me Back,1LvU6IFqQnXOIwJyBDb2io,5hJEgBdGwr6dWyf4lieSV9,0.752,0.679,11.0,-6.453,1.0,0.0391,0.0853,0.0,0.28,0.704,127.945,243816.0,2022,False
654,Come Over,2o3Wog8cDobbtvgFXIc6mK,35oLMiAK4VM2T0ek3PTPIc,0.712,0.698,10.0,-7.646,1.0,0.0635,0.0744,0.000231,0.194,0.51,115.063,196401.0,Chillin',False
655,New Perspective,1M39ETXmej4g9EMSeXPUgj,5hJEgBdGwr6dWyf4lieSV9,0.685,0.522,5.0,-9.635,1.0,0.0415,0.264,1.31e-06,0.0837,0.509,156.529,256871.0,2022,False
656,"Everywhere, Everything",32iNr3J93tqFkxaMYwdRYi,5hJEgBdGwr6dWyf4lieSV9,0.456,0.383,11.0,-9.184,1.0,0.0344,0.378,0.0,0.138,0.301,179.772,257668.0,2022,False
657,Orange Juice,07UFnnK3uPIuKv5Rs9TmXl,5hJEgBdGwr6dWyf4lieSV9,0.647,0.384,9.0,-10.825,1.0,0.0374,0.49,6.55e-06,0.121,0.208,119.831,297103.0,2022,False
658,Strawberry Wine,7Gvf6Li9MYft4fUijkFjKq,5hJEgBdGwr6dWyf4lieSV9,0.449,0.149,0.0,-17.55,1.0,0.0306,0.927,0.000399,0.0964,0.251,102.88,285913.0,2022,False
659,Growing Sideways,1JcIXOir94YUYBt2cXTzn2,5hJEgBdGwr6dWyf4lieSV9,0.665,0.296,7.0,-8.64,1.0,0.0276,0.744,0.0,0.0922,0.539,89.142,255144.0,2022,False
660,Homesick,44BBRAJHar6wQqKOxdyTzT,3FInOSJaKv5QzLQrd3lCgA,0.649,0.646,7.0,-6.493,1.0,0.0734,0.223,0.0,0.0959,0.418,93.986,182107.0,JP,False
661,Sintiéndolo Mucho (feat. Leiva),4fe2YUvzu5oGWJz3FPyvDE,5hJEgBdGwr6dWyf4lieSV9,0.502,0.349,2.0,-9.549,1.0,0.0547,0.516,0.0,0.133,0.417,149.709,244013.0,2022,False
662,Qué Putada,1gAB2o2SBWqBtbStqGhyoE,5hJEgBdGwr6dWyf4lieSV9,0.368,0.725,7.0,-5.66,1.0,0.0349,0.00276,0.76,0.242,0.453,89.909,192853.0,2022,False
663,Entre Poetas y Presos,7LQLbChhh7aURz53yOTLAr,5hJEgBdGwr6dWyf4lieSV9,0.644,0.917,10.0,-4.62,1.0,0.04,0.00991,0.0,0.108,0.797,150.034,267680.0,2022,False
664,Mood,6ZbcnheVCRlKHJXKU8DqGi,35oLMiAK4VM2T0ek3PTPIc,0.843,0.653,1.0,-7.989,0.0,0.0912,0.141,0.562,0.106,0.473,124.06,183876.0,Chillin',False
665,Al revés (feat. MARLENA),7A48psjb1Bdi7KKpC95gaH,5hJEgBdGwr6dWyf4lieSV9,0.593,0.392,11.0,-5.311,0.0,0.0527,0.801,0.0,0.248,0.439,93.764,192811.0,2022,False
666,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,35ovElsgyAtQwYPYnZJECg,5hJEgBdGwr6dWyf4lieSV9,0.247,0.299,9.0,-6.083,1.0,0.0315,0.899,0.0,0.131,0.172,177.115,196520.0,2022,False
667,Creature Of The Night,0jgaFTvDHzI7V7DIoTf0BW,3FInOSJaKv5QzLQrd3lCgA,0.721,0.486,2.0,-11.342,1.0,0.155,0.417,3.38e-06,0.586,0.629,101.918,277014.0,JP,False
668,"Plan fatal (feat. Juancho Sidecars, Sidecars)",3WJYbZVCqG5EygdjCiBLmh,5hJEgBdGwr6dWyf4lieSV9,0.593,0.747,1.0,-3.316,1.0,0.0403,0.00633,0.0,0.0769,0.597,127.447,223263.0,2022,False
669,Camarón (feat. La Húngara),4RWlyZ2BOFpkl1BJWebuHx,5hJEgBdGwr6dWyf4lieSV9,0.685,0.758,9.0,-5.619,1.0,0.063,0.219,1.45e-06,0.342,0.783,145.936,175673.0,2022,False
670,Diablo,511ZMyXhrPlJvQSYtBWDy3,5hJEgBdGwr6dWyf4lieSV9,0.542,0.871,1.0,-2.871,1.0,0.0456,0.051,0.0,0.195,0.557,134.983,164670.0,2022,False
671,La Deriva,3yAVc9zsc742nCxO8mDB8T,5hJEgBdGwr6dWyf4lieSV9,0.59,0.665,9.0,-7.253,1.0,0.0391,0.0555,0.12,0.121,0.699,129.018,219027.0,2022,False
672,Cabezabajo,22Y1GRYwCO6dOiZffkUd6D,5hJEgBdGwr6dWyf4lieSV9,0.585,0.85,2.0,-5.892,1.0,0.0326,0.0153,0.0,0.293,0.521,109.957,208875.0,2022,False
673,Extasi,6ojrj2NSj3EkMm05yiuaMG,5hJEgBdGwr6dWyf4lieSV9,0.859,0.776,0.0,-4.028,1.0,0.0749,0.0508,1.07e-06,0.0263,0.222,130.008,157846.0,2022,False
674,Somriurem,2K4rdFRQKnePtvqgfpF5cR,5hJEgBdGwr6dWyf4lieSV9,0.765,0.773,7.0,-7.501,1.0,0.0674,0.227,0.0,0.0841,0.741,103.91,193187.0,2022,False
675,Ça Plane Pour Moi,7bx4zW72qdZKBb8p6g80jb,5hJEgBdGwr6dWyf4lieSV9,0.489,0.788,10.0,-11.654,1.0,0.0452,0.176,7.98e-05,0.196,0.88,165.877,179507.0,2022,False
676,Marte,2X5fBwF0y4SZZl9l5027AS,5hJEgBdGwr6dWyf4lieSV9,0.419,0.71,0.0,-4.33,1.0,0.0291,0.0046,0.0,0.207,0.505,168.07,241800.0,2022,False
677,Desde Aquella Vez,1R9dlH1uHHuJJF8gp9WN19,5hJEgBdGwr6dWyf4lieSV9,0.681,0.652,9.0,-8.401,1.0,0.0408,0.269,0.00335,0.0837,0.691,96.998,161500.0,2022,False
678,Ez da Ondo Aterako,2hQopHlzbMsxN2ZFHXXAw5,5hJEgBdGwr6dWyf4lieSV9,0.268,0.571,11.0,-7.55,1.0,0.0392,0.0122,0.0,0.322,0.481,75.004,198573.0,2022,False
679,Nos volvemos a ver,0Cr7JWZYkPMIi6ercnFDR4,5hJEgBdGwr6dWyf4lieSV9,0.656,0.637,10.0,-9.092,1.0,0.198,0.733,0.0,0.102,0.678,95.77,162482.0,2022,False
680,Muerto de Miedo,4jwlLPZrR8FnmlOMR2dgfL,5hJEgBdGwr6dWyf4lieSV9,0.667,0.652,11.0,-9.348,1.0,0.0326,0.0116,5.68e-05,0.0778,0.622,131.838,247637.0,2022,False
681,Best Years Of Our Lives,4H7AC9OtnalwNkbmV0AAYs,5hJEgBdGwr6dWyf4lieSV9,0.779,0.904,2.0,-3.826,1.0,0.0557,0.00708,0.00128,0.0345,0.926,119.95,178800.0,2022,False
682,Lean on Me,3M8FzayQWtkvOhqMn2V4T2,5hJEgBdGwr6dWyf4lieSV9,0.619,0.22,0.0,-13.843,1.0,0.0672,0.782,1.19e-05,0.124,0.426,75.143,258835.0,2022,False
683,Nostalgia (feat. Jose Merce),2QdxVS3g2WobrrcOzY27si,5hJEgBdGwr6dWyf4lieSV9,0.3,0.429,4.0,-5.823,1.0,0.0365,0.488,0.0,0.362,0.413,205.492,217504.0,2022,False
684,Guadalquivir,3LfSQjsU6hOTQhSezBTKDl,5hJEgBdGwr6dWyf4lieSV9,0.512,0.816,0.0,-6.063,1.0,0.0385,0.168,1.79e-06,0.368,0.669,157.859,216473.0,2022,False
685,Made You Look,0QHEIqNKsMoOY5urbzN48u,5hJEgBdGwr6dWyf4lieSV9,0.838,0.525,10.0,-3.562,1.0,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,134256.0,2022,False
686,Para Volver a Volver,45LQ9kIYVdKfZW5STMvBLh,5hJEgBdGwr6dWyf4lieSV9,0.661,0.478,2.0,-9.901,0.0,0.17,0.167,0.0,0.127,0.834,96.639,123280.0,2022,False
687,Estrella (feat. La La Love You),1tASt7L5WHMc8izTvkH0fC,5hJEgBdGwr6dWyf4lieSV9,0.45,0.94,2.0,-2.935,1.0,0.105,0.00337,0.0,0.355,0.589,174.93,196175.0,2022,False
688,Frente A Frente,17KhchL0h4moaT3Tujjy7U,5hJEgBdGwr6dWyf4lieSV9,0.671,0.673,4.0,-6.962,1.0,0.138,0.52,0.0,0.111,0.571,108.993,255413.0,2022,False
689,Hit the Road Jack,2HoqbEOXgbDSLZ5XCePEXt,5hJEgBdGwr6dWyf4lieSV9,0.598,0.571,8.0,-12.616,0.0,0.139,0.704,0.0,0.513,0.962,173.141,119880.0,2022,False
690,Born Again,18zQTt3ifDv6iLni2YuXMg,5hJEgBdGwr6dWyf4lieSV9,0.465,0.26,0.0,-8.179,0.0,0.031,0.475,0.0,0.138,0.259,116.642,213333.0,2022,False
691,La luna me sabe a poco,16taQAqrrfqCwbkbKFr2OH,5hJEgBdGwr6dWyf4lieSV9,0.437,0.855,1.0,-5.172,1.0,0.075,0.0568,0.254,0.0429,0.584,189.856,267186.0,2022,False
692,Y Nos Dieron Las Diez (feat. Zahara) - Tributo a Sabina,2p0ol5BlwQtbiioBGytxy4,5hJEgBdGwr6dWyf4lieSV9,0.637,0.437,0.0,-7.789,1.0,0.0313,0.532,0.0,0.0583,0.475,82.013,309913.0,2022,False
693,Calle Melancolía,0qpRgZ1vj7OwjwWdqBwjpK,5hJEgBdGwr6dWyf4lieSV9,0.478,0.732,4.0,-5.858,1.0,0.0429,0.0379,0.000183,0.132,0.166,90.865,380973.0,2022,False
694,Adrenalina,001hyVfKgE2R1a0TBXeLlV,5hJEgBdGwr6dWyf4lieSV9,0.666,0.554,11.0,-10.353,1.0,0.0325,0.67,0.00025,0.0631,0.414,130.052,219742.0,2022,False
695,MMMBop,0lnxrQAd9ZxbhBBe7d8FO8,5hJEgBdGwr6dWyf4lieSV9,0.683,0.937,9.0,-6.335,1.0,0.0449,0.00481,0.0046,0.07,0.619,104.872,268653.0,2022,False
696,Shiny Happy People,1v2zyAJrChw5JnfafSkwkJ,5hJEgBdGwr6dWyf4lieSV9,0.452,0.909,9.0,-3.977,1.0,0.0366,0.0313,0.0603,0.23,0.805,124.623,225787.0,2022,False
697,Valiente,0pyT9W877RcYtVdl1ZmlvQ,5hJEgBdGwr6dWyf4lieSV9,0.554,0.9,4.0,-3.654,0.0,0.0366,0.00382,8.26e-06,0.133,0.569,140.023,208893.0,2022,False
698,Suspicious Minds,1H5IfYyIIAlgDX8zguUzns,5hJEgBdGwr6dWyf4lieSV9,0.487,0.382,7.0,-10.889,1.0,0.0309,0.0422,4.74e-06,0.411,0.714,116.557,261280.0,2022,False
699,Medias Rotas,06EdGF66klIaQDFoUCALSv,3FInOSJaKv5QzLQrd3lCgA,0.662,0.188,8.0,-9.378,0.0,0.226,0.579,0.0,0.131,0.552,134.91,176560.0,JP,False
700,Mesa Para Dos,2KFvKwbWqJKtjHq3Cblrtf,5hJEgBdGwr6dWyf4lieSV9,0.464,0.168,4.0,-10.664,0.0,0.0304,0.682,0.000176,0.111,0.327,84.988,147302.0,2022,False
701,Christmas Lights,6PWwPv9eoltgzMRrBVRHWX,5hJEgBdGwr6dWyf4lieSV9,0.532,0.624,9.0,-5.165,1.0,0.0275,0.426,0.0,0.221,0.479,96.097,183410.0,2022,False
702,Lo que yo te he querido (pretérito perfecto),5lSTcV5eJeYHCRg2xowy5X,5hJEgBdGwr6dWyf4lieSV9,0.633,0.816,7.0,-5.099,1.0,0.0368,0.0244,6.43e-06,0.174,0.902,129.983,184448.0,2022,False
703,Those Little Things - BSO Estrella Damm 2016,6HLIHF8UeB8PTlN3fGxwgE,3FInOSJaKv5QzLQrd3lCgA,0.457,0.798,8.0,-6.982,1.0,0.0941,0.022,0.0,0.125,0.27,161.062,207800.0,JP,False
704,Su cabeza en mi pecho,3Mbi3ZzOqOtUMjv2k1F0n0,5hJEgBdGwr6dWyf4lieSV9,0.763,0.33,9.0,-8.08,1.0,0.348,0.572,0.0,0.0904,0.777,80.325,129039.0,2022,False
705,Pano Corado,1UborfcasVDJivqu8OEvoQ,5hJEgBdGwr6dWyf4lieSV9,0.737,0.639,2.0,-7.06,0.0,0.06,0.178,0.00287,0.226,0.737,100.966,217514.0,2022,False
706,Aglio e olio,19yag4qL1J2lwjSSgwSXVG,5hJEgBdGwr6dWyf4lieSV9,0.735,0.529,11.0,-7.982,1.0,0.05,0.535,0.0,0.19,0.537,93.028,225827.0,2022,False
707,Trocito de Marte,2oVdME9vk0rgwbF5CeTvkK,5hJEgBdGwr6dWyf4lieSV9,0.629,0.76,8.0,-5.732,0.0,0.0359,0.023,0.0,0.226,0.348,140.024,206033.0,2022,False
708,Crímenes perfectos,6guoJhM9n5Fm7npXJ1rfsM,5hJEgBdGwr6dWyf4lieSV9,0.55,0.413,9.0,-9.489,1.0,0.0269,0.359,0.000102,0.118,0.401,124.918,264840.0,2022,False
709,NADA QUE DECIR,2Qnjj1OqW9NDTzBeanuXIP,5hJEgBdGwr6dWyf4lieSV9,0.518,0.74,4.0,-5.389,1.0,0.362,0.176,0.0,0.115,0.538,157.944,213851.0,2022,False
710,Night Changes - TikTok Trend Edit,2aI1w1mOryx5ngfvnS4hk3,5hJEgBdGwr6dWyf4lieSV9,0.927,0.821,10.0,-6.182,1.0,0.0799,0.0518,5.92e-05,0.383,0.355,124.992,130680.0,2022,False
711,Look Who’s Inside Again,0lZZ8pibk6Zu3M9hTthk1a,5hJEgBdGwr6dWyf4lieSV9,0.643,0.331,2.0,-9.235,1.0,0.0387,0.761,0.0,0.373,0.648,160.006,83422.0,2022,False
712,That Funny Feeling,5CU5CRWy6PjUJsHCVbkYI2,5hJEgBdGwr6dWyf4lieSV9,0.545,0.277,4.0,-11.7,1.0,0.0392,0.764,0.0,0.372,0.389,75.763,301111.0,2022,False
713,La Bilirrubina,7rCE3KwSwzNh8n8LC4O3zJ,5hJEgBdGwr6dWyf4lieSV9,0.627,0.397,1.0,-10.917,1.0,0.0437,0.291,1.88e-05,0.183,0.58,172.079,230000.0,2022,False
714,Lost in My Mind,563iNuGeBdAegSCMRSMjMH,5hJEgBdGwr6dWyf4lieSV9,0.371,0.54,2.0,-8.11,1.0,0.0286,0.43,0.000327,0.283,0.388,95.339,259120.0,2022,False
715,All We Ever Knew,72zmwnbXjx9fMUjw3mbDSs,5hJEgBdGwr6dWyf4lieSV9,0.487,0.724,0.0,-5.905,1.0,0.0289,0.00224,1.03e-05,0.213,0.546,102.03,225560.0,2022,False
716,Another Story,5nFAzVoza96Kbxj83YsCvw,5hJEgBdGwr6dWyf4lieSV9,0.34,0.45,5.0,-9.881,1.0,0.029,0.546,0.126,0.283,0.111,85.579,274200.0,2022,False
717,Hurts (But It Goes Away),6ncAWORMhjFcZTO3d2uXrg,5hJEgBdGwr6dWyf4lieSV9,0.563,0.891,0.0,-3.69,1.0,0.0766,0.0272,0.0,0.295,0.391,99.016,194533.0,2022,False
718,SPNB,3gy6bTJQfwO7rvMSDa4ZSX,5hJEgBdGwr6dWyf4lieSV9,0.69,0.364,9.0,-8.585,1.0,0.0321,0.772,0.0,0.11,0.43,104.058,196240.0,2022,False
719,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,2AjwEGmjc0VEaf25Dbjb1M,0.714,0.728,10.0,-4.595,1.0,0.0468,0.298,0.0,0.106,0.901,114.996,177955.0,Life Is Wonderful,False
720,Dile,2OuBMo9jsbDJuJD1QhSpsY,5hJEgBdGwr6dWyf4lieSV9,0.807,0.849,1.0,-6.53,0.0,0.0991,0.46,0.0,0.269,0.949,98.004,241756.0,2022,False
721,No sé cuánto tiempo,4SgsrNZ2eezKEXmoXyx6O0,5hJEgBdGwr6dWyf4lieSV9,0.622,0.6,6.0,-5.467,1.0,0.0331,0.000884,0.0,0.146,0.802,125.976,201291.0,2022,False
722,Color Miel,2QpfoVwgFdiuUeTTnSh4z0,5hJEgBdGwr6dWyf4lieSV9,0.41,0.121,4.0,-10.238,0.0,0.0396,0.817,0.0,0.162,0.216,170.955,274173.0,2022,False
723,Feliz Cumpleaños Ferxxo,3kUq4sBcmxhnOtNysZ9yrp,5hJEgBdGwr6dWyf4lieSV9,0.87,0.55,5.0,-5.537,1.0,0.0722,0.102,0.0,0.293,0.566,95.019,156400.0,2022,False
724,Sembra Di Essere Al Mare,2Mb4dh89xnSfQF1vQSCFcQ,5hJEgBdGwr6dWyf4lieSV9,0.606,0.625,11.0,-6.062,1.0,0.0919,0.731,0.000212,0.208,0.478,103.158,197969.0,2022,False
725,Otra historia de amor,5nVAcRWBMrs2W9pKOHM8Lc,5hJEgBdGwr6dWyf4lieSV9,0.596,0.256,9.0,-8.357,1.0,0.0505,0.558,0.0,0.115,0.475,131.825,319457.0,2022,False
726,El Espejo,70j4f3OJEg1VlvIzZbmepc,5hJEgBdGwr6dWyf4lieSV9,0.73,0.567,8.0,-9.259,1.0,0.0344,0.497,8.75e-05,0.156,0.841,120.036,152250.0,2022,False
727,"Te Aviso, Te Anuncio (Tango)",1w5nWhUzrQqj0WnDXrgsnC,5hJEgBdGwr6dWyf4lieSV9,0.601,0.897,11.0,-5.423,0.0,0.0495,0.0174,7.61e-06,0.0299,0.66,179.356,223200.0,2022,False
728,Si Te Vas,7Apo6o7oxgFyXaSmdx6NHN,5hJEgBdGwr6dWyf4lieSV9,0.677,0.897,2.0,-5.458,1.0,0.0393,0.0431,0.0,0.264,0.828,107.78,210267.0,2022,False
729,I Won't Back Down,7gSQv1OHpkIoAdUiRLdmI6,5hJEgBdGwr6dWyf4lieSV9,0.765,0.476,7.0,-13.487,1.0,0.0329,0.0504,2.76e-06,0.165,0.965,114.02,178360.0,2022,False
730,Peanut Butter Jelly,3aIhJDHxr1kgTSnutJxPTH,5U2MYFAcQ3yT7XbHYgGPmb,0.708,0.945,5.0,-3.247,0.0,0.234,0.00104,0.0803,0.227,0.545,127.96,203133.0,House,False
731,Another Night,5zvo5IHhdyHXTBSdO8H4ZI,37i9dQZF1E4vEir6itRijY,0.637,0.715,0.0,-8.052,1.0,0.0336,0.0664,6.99e-06,0.191,0.481,117.919,171486.0,Sons Of The East Radio,False
732,Calipso,3wqQH302s3vVWahSfUbgFd,5hJEgBdGwr6dWyf4lieSV9,0.557,0.529,10.0,-6.047,1.0,0.111,0.428,8.25e-05,0.0918,0.85,175.134,230307.0,2022,False
733,Grace Kelly,2SDx0PooHZI1SQKR0y44bs,5hJEgBdGwr6dWyf4lieSV9,0.675,0.828,0.0,-5.799,1.0,0.0454,0.0242,0.0102,0.364,0.669,122.229,187733.0,2022,False
734,El Estrangulador,0eA1FutcU4VBueauwruErF,5hJEgBdGwr6dWyf4lieSV9,0.738,0.658,11.0,-7.934,0.0,0.0314,0.308,2.59e-06,0.119,0.621,98.051,214303.0,2022,False
735,My Beloved Monster,0GXPDJCtVhrgZFuVlepFLp,5hJEgBdGwr6dWyf4lieSV9,0.478,0.284,9.0,-12.803,1.0,0.0312,0.256,0.443,0.651,0.458,97.663,132173.0,2022,False
736,Flowers,0yLdNVWF3Srea0uzk55zFn,5hJEgBdGwr6dWyf4lieSV9,0.707,0.681,0.0,-4.325,1.0,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,200455.0,2022,False
737,Soy Yo,74yNlKlythblKb9INN5ZOx,5hJEgBdGwr6dWyf4lieSV9,0.676,0.842,1.0,-3.763,1.0,0.111,0.0775,0.0,0.0714,0.734,179.922,157679.0,2022,False
738,Like This,6cj1qZxN3I2OxvYMDlIsNN,5hJEgBdGwr6dWyf4lieSV9,0.704,0.327,7.0,-16.332,1.0,0.396,0.749,0.0,0.102,0.491,96.082,193462.0,2022,False
739,Bad Memories (feat. Elley Duhé & FAST BOY),3rb0tMq42WfggucPm0HHkA,3XWqyAXlCtPmnZUJKt5ACC,0.607,0.767,5.0,-6.069,0.0,0.0474,0.118,0.0,0.122,0.662,123.998,148629.0,Dance Music,False
740,Lay Low,0zKbDrEXKpnExhGQRe9dxt,3XWqyAXlCtPmnZUJKt5ACC,0.534,0.855,1.0,-4.923,0.0,0.183,0.0607,0.000263,0.346,0.42,122.06,153443.0,Dance Music,False
